Unnamed: 0,dT,Tref,class,log_aT,fold
0,5.4,130.0,1.0,-0.32,2
1,6.3,130.0,1.0,-0.47,0
2,7.2,130.0,1.0,-0.54,3
3,9.1,130.0,1.0,-0.73,0
4,15.7,130.0,1.0,-1.08,0
5,20.9,130.0,1.0,-1.51,1
6,24.6,130.0,1.0,-1.68,3
7,25.9,130.0,1.0,-1.78,1
8,36.1,130.0,1.0,-2.3,2
9,37.6,130.0,1.0,-2.37,3
10,39.4,130.0,1.0,-2.45,1
11,40.7,130.0,1.0,-2.55,3
12,51.1,130.0,1.0,-2.93,3
13,52.2,130.0,1.0,-2.98,1
14,54.2,130.0,1.0,-3.05,0
15,55.7,130.0,1.0,-3.15,2
16,65.5,130.0,1.0,-3.44,3
17,67.0,130.0,1.0,-3.51,2
18,68.9,130.0,1.0,-3.56,1
19,70.4,130.0,1.0,-3.62,1
20,80.7,130.0,1.0,-3.91,2
21,84.2,130.0,1.0,-3.95,2
22,95.9,130.0,1.0,-4.24,0
23,97.2,130.0,1.0,-4.31,0
24,100.2,130.0,1.0,-4.38,0
25,-0.0010000000000047,130.0,2.0,1.186367144967448e-06,1
26,19.99100000000001,130.0,2.0,-1.551902957529371,3
27,39.97200000000001,130.0,2.0,-2.711669012501247,2
28,59.976,130.0,2.0,-3.566697086081363,2
29,79.975,130.0,2.0,-4.180173861284566,0
30,99.982,130.0,2.0,-4.6312,3
31,119.985,130.0,2.0,-5.069383335681042,1
32,139.988,130.0,2.0,-5.591258701684384,0
33,-100.0,260.0,3.0,5.038079440758397,2
34,-89.99000000000001,260.0,3.0,3.758746163059901,3
35,-80.0,260.0,3.0,2.8510068744725863,3
36,-60.0,260.0,3.0,1.6844090534649807,2
37,-40.00999999999999,260.0,3.0,0.9395656747200296,1
38,-20.00999999999999,260.0,3.0,0.4125176655785008,0
39,0.0,260.0,3.0,0.0,1
40,20.0,260.0,3.0,-0.3333828169503999,0
41,-40.0,170.0,4.0,2.88883,2
42,-20.0,170.0,4.0,1.15239,3
43,0.0,170.0,4.0,0.0,1
44,20.0,170.0,4.0,-0.817863,0
45,0.0,170.0,5.0,0.0,2
46,10.0,170.0,5.0,-0.4291886276872201,1
47,20.0,170.0,5.0,-0.798193357042978,0
48,30.0,170.0,5.0,-1.1099144732836748,2
49,40.0,170.0,5.0,-1.380072289708532,2
50,50.0,170.0,5.0,-1.6181632000016566,3
51,60.0,170.0,5.0,-1.8276890314780456,0
52,0.0,170.0,5.0,0.0,3
53,10.0,170.0,5.0,-0.4333033048835361,1
54,20.0,170.0,5.0,-0.7987121458982412,3
55,30.0,170.0,5.0,-1.1126077810281532,0
56,40.0,170.0,5.0,-1.384576047114056,3
57,50.0,170.0,5.0,-1.62015082123717,2
58,60.0,170.0,5.0,-1.8291517963566903,1
59,0.0,170.0,5.0,0.0,1
60,10.0,170.0,5.0,-0.4268846110455483,3
61,20.0,170.0,5.0,-0.7833591416745516,2
62,30.0,170.0,5.0,-1.093018846771146,0
63,40.0,170.0,5.0,-1.3603143387573184,2
64,50.0,170.0,5.0,-1.5914208745913323,3
65,60.0,170.0,5.0,-1.8016178699917056,0
66,0.0,170.0,5.0,0.0,0
67,10.0,170.0,5.0,-0.4305324520745647,2
68,20.0,170.0,5.0,-0.784309573746797,2
69,30.0,170.0,5.0,-1.088629292883862,1
70,40.0,170.0,5.0,-1.3467874862246565,1
71,50.0,170.0,5.0,-1.576262750017671,3
72,60.0,170.0,5.0,-1.7825160557860935,1
73,0.0,170.0,5.0,0.0,2
74,10.0,170.0,5.0,-0.4290369783682094,0
75,20.0,170.0,5.0,-0.7798657504297479,1
76,30.0,170.0,5.0,-1.0906044540328943,1
77,40.0,170.0,5.0,-1.359220522655143,3
78,50.0,170.0,5.0,-1.5924391505136375,0
79,60.0,170.0,5.0,-1.799696817018415,3
80,-40.0,170.0,6.0,2.79918,2
81,-20.0,170.0,6.0,1.19923,1
82,0.0,170.0,6.0,0.0,3
83,20.0,170.0,6.0,-1.00214,0
84,40.0,170.0,6.0,-1.80214,0
85,60.0,170.0,6.0,-2.25764,2
86,80.0,170.0,6.0,-2.65774,1
