complexity,loss,equation,score,julia_expression,lambda_format,simplification_justification,original_complexity
1,1.5203528,"f = #3; p1 = [-2.574154, -3.705499, 2.23525, 1.073515, -1.0258883, -0.45260358]; p2 = [-3.636891, -15.158564, -3.8912911, -7.2144794, -6.7546825, -4.772087]",0.0,"f = #3; p1 = [-2.574154, -3.705499, 2.23525, 1.073515, -1.0258883, -0.45260358]; p2 = [-3.636891, -15.158564, -3.8912911, -7.2144794, -6.7546825, -4.772087]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040a2a910>,,1
3,0.1427997,"f = #3 * #1; p1 = [-0.049319085, -0.046494436, -0.041044924, -0.06456095, -0.032673333, -0.0471591]; p2 = [-3.3042264, 33.324234, 0.7527436, 0.076836765, -1.4889936, -3.360137]",1.1826273715541398,"f = #3 * #1; p1 = [-0.049319085, -0.046494436, -0.041044924, -0.06456095, -0.032673333, -0.0471591]; p2 = [-3.3042264, 33.324234, 0.7527436, 0.076836765, -1.4889936, -3.360137]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040a2a160>,,3
5,0.07177366,"f = #3 - (#4 * #1); p1 = [-0.5048453, -1.3223783, -0.05979461, 0.2746289, -0.111134075, 0.36727306]; p2 = [0.04207826, 0.032505475, 0.041727174, 0.059988216, 0.030112514, 0.05124144]",0.343962696341621,"f = #3 - (#4 * #1); p1 = [-0.5048453, -1.3223783, -0.05979461, 0.2746289, -0.111134075, 0.36727306]; p2 = [0.04207826, 0.032505475, 0.041727174, 0.059988216, 0.030112514, 0.05124144]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040a2ad90>,,5
7,0.0010903596,"f = (#1 * #4) / (#3 + (#2 + #1)); p1 = [-23.195597, -26.430271, -110.125656, -51.446262, -62.844822, -6.1070933]; p2 = [-9.047521, -9.627132, -2.5074391, -5.6734605, -5.037315, -8.708122]",1.8525655007889e-05,"f = (#1 * #4) / (#3 + (#2 + #1)); p1 = [-23.195597, -26.430271, -110.125656, -51.446262, -62.844822, -6.1070933]; p2 = [-9.047521, -9.627132, -2.5074391, -5.6734605, -5.037315, -8.708122]",<pysr.expression_specs.CallableJuliaExpression object at 0x1520409520a0>,"['c4*x/(c3+t+x)', 'c6*x/(c7+x)']",9
10,0.0010590311,"f = #3 / (#4 - (#2 / (#1 + -0.2555624))); p1 = [11.167041, 12.200098, 4.3242316, 8.123487, 8.136933, 9.024296]; p2 = [-1.2516742, -1.2758994, -1.7333254, -1.4086027, -1.6590996, -1.0138544]",0.0291531165744445,"f = #3 / (#4 - (#2 / (#1 + -0.2555624))); p1 = [11.167041, 12.200098, 4.3242316, 8.123487, 8.136933, 9.024296]; p2 = [-1.2516742, -1.2758994, -1.7333254, -1.4086027, -1.6590996, -1.0138544]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040952190>,,10
12,0.000942086,"f = (#3 / (#4 - (#2 / (#4 + #1)))) - 0.063785784; p1 = [11.243467, 12.177296, 4.345432, 7.9490776, 7.8098125, 8.904785]; p2 = [-1.2989618, -1.2916255, -1.7026247, -1.4123499, -1.561137, -1.0411128]",0.0585065734859361,"f = (#3 / (#4 - (#2 / (#4 + #1)))) - 0.063785784; p1 = [11.243467, 12.177296, 4.345432, 7.9490776, 7.8098125, 8.904785]; p2 = [-1.2989618, -1.2916255, -1.7026247, -1.4123499, -1.561137, -1.0411128]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040952280>,,12
13,0.0008646984,"f = #4 * (((#1 + -4.3736167) / (#3 + #1)) + 0.03643117); p1 = [95.13575, 99.480675, 150.54031, 119.455086, 118.41796, 151.3203]; p2 = [-8.273746, -9.176845, -2.4771628, -5.530708, -5.227241, -7.736303]",0.085715789914041,"f = #4 * (((#1 + -4.3736167) / (#3 + #1)) + 0.03643117); p1 = [95.13575, 99.480675, 150.54031, 119.455086, 118.41796, 151.3203]; p2 = [-8.273746, -9.176845, -2.4771628, -5.530708, -5.227241, -7.736303]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040952370>,,13
14,0.0008242991,"f = #3 / (#4 - (#2 / ((74.768005 / (#1 - #2)) + #1))); p1 = [11.358971, 12.81598, 4.32928, 8.136726, 8.25687, 9.043953]; p2 = [-1.2724645, -1.4140975, -1.7333614, -1.3919538, -1.7078913, -0.9974429]",0.04784732612886,"f = #3 / (#4 - (#2 / ((74.768005 / (#1 - #2)) + #1))); p1 = [11.358971, 12.81598, 4.32928, 8.136726, 8.25687, 9.043953]; p2 = [-1.2724645, -1.4140975, -1.7333614, -1.3919538, -1.7078913, -0.9974429]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040952460>,,14
16,0.0007401533,"f = #3 / (#4 - (#2 / (((#2 + -214.69456) / (#2 - #1)) + #1))); p1 = [11.407291, 12.918092, 4.3694386, 8.135176, 8.153142, 9.039118]; p2 = [-1.2803051, -1.4362711, -1.7339627, -1.4091151, -1.6611388, -1.0131599]",0.0538380612889145,"f = #3 / (#4 - (#2 / (((#2 + -214.69456) / (#2 - #1)) + #1))); p1 = [11.407291, 12.918092, 4.3694386, 8.135176, 8.153142, 9.039118]; p2 = [-1.2803051, -1.4362711, -1.7339627, -1.4091151, -1.6611388, -1.0131599]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040952550>,,16
17,0.0007320944,"f = (#3 / (#4 - (#2 / (#1 - (113.252426 / (#2 - #1)))))) + -0.028854748; p1 = [11.263074, 12.98843, 4.391878, 8.080513, 7.961438, 9.007733]; p2 = [-1.2517, -1.469924, -1.722924, -1.4235742, -1.5930791, -1.0219822]",0.010947859510166,"f = (#3 / (#4 - (#2 / (#1 - (113.252426 / (#2 - #1)))))) + -0.028854748; p1 = [11.263074, 12.98843, 4.391878, 8.080513, 7.961438, 9.007733]; p2 = [-1.2517, -1.469924, -1.722924, -1.4235742, -1.5930791, -1.0219822]",<pysr.expression_specs.CallableJuliaExpression object at 0x152040952640>,,17
