complexity,loss,equation,score,julia_expression,lambda_format,simplification_justification,original_complexity
1,1.5448527,"f = #5; p1 = [-0.17815784, 1.2217256, 0.031766236, 2.3458471, -0.4339827, -0.7273652]; p2 = [-1.0250785, 1.4763422, -0.33858204, -0.25058943, 0.94199896, 0.5406222]; p3 = [-2.5923097, -3.412796, 1.7938522, 0.80557907, -1.0130577, -0.53147525]",0.0,"f = #5; p1 = [-0.17815784, 1.2217256, 0.031766236, 2.3458471, -0.4339827, -0.7273652]; p2 = [-1.0250785, 1.4763422, -0.33858204, -0.25058943, 0.94199896, 0.5406222]; p3 = [-2.5923097, -3.412796, 1.7938522, 0.80557907, -1.0130577, -0.53147525]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30e24a90>,,1
3,0.13468781,"f = #4 * #1; p1 = [-0.08391607, 0.16466074, -0.8966272, 0.35036662, -0.9591567, -0.60941726]; p2 = [-0.050387856, -0.04540266, -0.040121987, -0.06456634, -0.032545228, -0.041154783]; p3 = [1.1430613, -0.4380417, -0.43180102, 3.1077034, -1.8273767, -0.00071392953]",1.219862131530672,"f = #4 * #1; p1 = [-0.08391607, 0.16466074, -0.8966272, 0.35036662, -0.9591567, -0.60941726]; p2 = [-0.050387856, -0.04540266, -0.040121987, -0.06456634, -0.032545228, -0.041154783]; p3 = [1.1430613, -0.4380417, -0.43180102, 3.1077034, -1.8273767, -0.00071392953]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30e24880>,,3
5,0.08121973,"f = #3 + (#1 * #4); p1 = [-0.5584089, -0.7842867, -0.14097375, 0.19232388, -0.11934921, 0.3643975]; p2 = [-0.04195226, -0.037558727, -0.04183225, -0.06136041, -0.029791506, -0.04479837]; p3 = [0.46971413, 0.06740657, 0.46248522, 1.7772796, 1.2634178, 0.53877586]",0.2529006919856401,"f = #3 + (#1 * #4); p1 = [-0.5584089, -0.7842867, -0.14097375, 0.19232388, -0.11934921, 0.3643975]; p2 = [-0.04195226, -0.037558727, -0.04183225, -0.06136041, -0.029791506, -0.04479837]; p3 = [0.46971413, 0.06740657, 0.46248522, 1.7772796, 1.2634178, 0.53877586]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30e24be0>,,5
7,0.0011449254,"f = #1 * (#3 / (#4 + #1)); p1 = [-9.005823, -9.46842, -2.536269, -5.6770487, -5.078752, -8.022359]; p2 = [105.78705, 101.11047, 150.50388, 118.61329, 108.63888, 153.59238]; p3 = [-4.7816215, -28.863253, 2.6300442, 51.293106, -13.432138, 4.7986674]",2.1309093579515155,"f = #1 * (#3 / (#4 + #1)); p1 = [-9.005823, -9.46842, -2.536269, -5.6770487, -5.078752, -8.022359]; p2 = [105.78705, 101.11047, 150.50388, 118.61329, 108.63888, 153.59238]; p3 = [-4.7816215, -28.863253, 2.6300442, 51.293106, -13.432138, 4.7986674]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30e24f70>,,7
9,0.0006621542,"f = ((#3 / (#1 + #4)) - #5) * #1; p1 = [-17.686562, -6.9654346, -2.0588698, -4.609587, -7.625407, -62.490013]; p2 = [172.04062, 75.69108, 144.07648, 108.82499, 142.3981, 436.43152]; p3 = [-0.021581879, 0.0072064656, 0.0036653134, 0.0053040464, -0.007588334, -0.087732986]",0.2737981508504352,"f = ((#3 / (#1 + #4)) - #5) * #1; p1 = [-17.686562, -6.9654346, -2.0588698, -4.609587, -7.625407, -62.490013]; p2 = [172.04062, 75.69108, 144.07648, 108.82499, 142.3981, 436.43152]; p3 = [-0.021581879, 0.0072064656, 0.0036653134, 0.0053040464, -0.007588334, -0.087732986]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30e24cd0>,,9
11,0.0006481062,"f = (#4 + (#3 / ((#5 * #1) + #2))) * #1; p1 = [-12.920088, -11.97116, -3.623439, -8.35184, -7.687963, -31.567339]; p2 = [0.017602615, -0.0075549167, -0.004131372, 0.0012547061, -0.0017295365, 0.12987362]; p3 = [0.8156263, 1.7468224, 1.8168159, 1.4082129, 1.6784316, 0.2957021]",0.0107219437568282,"f = (#4 + (#3 / ((#5 * #1) + #2))) * #1; p1 = [-12.920088, -11.97116, -3.623439, -8.35184, -7.687963, -31.567339]; p2 = [0.017602615, -0.0075549167, -0.004131372, 0.0012547061, -0.0017295365, 0.12987362]; p3 = [0.8156263, 1.7468224, 1.8168159, 1.4082129, 1.6784316, 0.2957021]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d560d0>,,11
13,0.0006316934,"f = (#3 / (#5 + (#2 / (#1 + #4)))) + (#4 * #1); p1 = [-12.987157, -11.972744, -3.6047754, -8.000962, -7.5654106, -28.923742]; p2 = [0.01831254, -0.0075421496, -0.0042307214, -0.00074679026, -0.0025736864, 0.114269644]; p3 = [0.80248046, 1.7461011, 1.8191696, 1.4519495, 1.7413677, 0.3319699]",0.0128252109801199,"f = (#3 / (#5 + (#2 / (#1 + #4)))) + (#4 * #1); p1 = [-12.987157, -11.972744, -3.6047754, -8.000962, -7.5654106, -28.923742]; p2 = [0.01831254, -0.0075421496, -0.0042307214, -0.00074679026, -0.0025736864, 0.114269644]; p3 = [0.80248046, 1.7461011, 1.8191696, 1.4519495, 1.7413677, 0.3319699]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d561c0>,,13
15,0.00041140642,"f = (#3 / (#5 + (#2 / (#1 + #4)))) - ((#1 * #1) * #4); p1 = [-10.355616, -11.283957, -4.804147, -8.115946, -7.971772, -9.486235]; p2 = [-0.0007274019, -0.0007594348, 4.4951357e-5, 2.9145107e-7, 5.1315988e-6, -0.00013986122]; p3 = [-0.41020703, -0.37764698, 1.7240332, 1.4412661, 1.6215525, 0.5520464]",0.214411283752573,"f = (#3 / (#5 + (#2 / (#1 + #4)))) - ((#1 * #1) * #4); p1 = [-10.355616, -11.283957, -4.804147, -8.115946, -7.971772, -9.486235]; p2 = [-0.0007274019, -0.0007594348, 4.4951357e-5, 2.9145107e-7, 5.1315988e-6, -0.00013986122]; p3 = [-0.41020703, -0.37764698, 1.7240332, 1.4412661, 1.6215525, 0.5520464]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d562b0>,,15
16,0.00041094387,"f = (#3 / ((#2 / (#1 - 0.03937609)) + #5)) - ((#1 * #4) * #1); p1 = [-10.397404, -11.288434, -4.802069, -8.119881, -7.983716, -9.479415]; p2 = [-0.0007364477, -0.00075843005, 4.5338347e-5, 6.2620516e-6, 4.2513957e-6, -0.00014065273]; p3 = [-0.41411746, -0.37712017, 1.7240834, 1.4450295, 1.618967, 0.54497546]",0.0011249465207337,"f = (#3 / ((#2 / (#1 - 0.03937609)) + #5)) - ((#1 * #4) * #1); p1 = [-10.397404, -11.288434, -4.802069, -8.119881, -7.983716, -9.479415]; p2 = [-0.0007364477, -0.00075843005, 4.5338347e-5, 6.2620516e-6, 4.2513957e-6, -0.00014065273]; p3 = [-0.41411746, -0.37712017, 1.7240834, 1.4450295, 1.618967, 0.54497546]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d563a0>,,16
17,0.00040565952,"f = (#3 / ((#2 / (#1 + #4)) + #5)) - (#1 * ((#4 * #1) / #2)); p1 = [-10.441702, -11.290706, -4.7900004, -8.137085, -7.9771686, -9.483229]; p2 = [-0.09661233, -0.098327525, 0.011467939, -0.0008710474, 0.0009353616, -0.02395171]; p3 = [-0.4161185, -0.3762692, 1.7259027, 1.4253675, 1.6281468, 0.5455177]",0.0129424487537001,"f = (#3 / ((#2 / (#1 + #4)) + #5)) - (#1 * ((#4 * #1) / #2)); p1 = [-10.441702, -11.290706, -4.7900004, -8.137085, -7.9771686, -9.483229]; p2 = [-0.09661233, -0.098327525, 0.011467939, -0.0008710474, 0.0009353616, -0.02395171]; p3 = [-0.4161185, -0.3762692, 1.7259027, 1.4253675, 1.6281468, 0.5455177]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56490>,,17
18,0.00038803212,"f = (#3 / (#5 + (#2 / (#1 - (-0.11365633 / #5))))) - ((#1 * #4) * #1); p1 = [-10.553234, -11.448407, -4.795759, -8.13627, -7.949843, -9.479441]; p2 = [-0.00076019514, -0.0007752063, 4.2883385e-5, -1.4221704e-5, 7.752571e-6, -0.00013227295]; p3 = [-0.42177233, -0.37993914, 1.7236956, 1.4203264, 1.6343975, 0.59306854]",0.0444260673709638,"f = (#3 / (#5 + (#2 / (#1 - (-0.11365633 / #5))))) - ((#1 * #4) * #1); p1 = [-10.553234, -11.448407, -4.795759, -8.13627, -7.949843, -9.479441]; p2 = [-0.00076019514, -0.0007752063, 4.2883385e-5, -1.4221704e-5, 7.752571e-6, -0.00013227295]; p3 = [-0.42177233, -0.37993914, 1.7236956, 1.4203264, 1.6343975, 0.59306854]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56580>,,18
20,0.00032177978,"f = (#3 / (#5 + (#2 / (#1 - (#5 / (5.050308 - #1)))))) - ((#1 * #4) * #1); p1 = [-10.441111, -11.228118, -4.7711487, -8.120376, -7.678892, -9.480504]; p2 = [-0.00074996246, -0.000747551, 4.209125e-5, -1.029443e-5, -3.4318142e-5, -0.00014075899]; p3 = [-0.42012814, -0.37384695, 1.7250178, 1.4189556, 1.148186, 0.54677117]",0.0936103605881718,"f = (#3 / (#5 + (#2 / (#1 - (#5 / (5.050308 - #1)))))) - ((#1 * #4) * #1); p1 = [-10.441111, -11.228118, -4.7711487, -8.120376, -7.678892, -9.480504]; p2 = [-0.00074996246, -0.000747551, 4.209125e-5, -1.029443e-5, -3.4318142e-5, -0.00014075899]; p3 = [-0.42012814, -0.37384695, 1.7250178, 1.4189556, 1.148186, 0.54677117]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56670>,,20
21,0.00030198507,"f = (#3 / ((#2 / ((0.10412736 / (5.3128448 - #1)) + #1)) + #5)) - (#1 * (#4 * #1)); p1 = [-10.401209, -11.27941, -4.8036866, -8.119782, -7.976245, -9.483408]; p2 = [-0.00074124435, -0.0007571568, 4.451568e-5, 3.0775232e-6, 4.842261e-6, -0.0001398797]; p3 = [-0.4170271, -0.37655303, 1.7232771, 1.4449558, 1.6218047, 0.5511495]",0.0634898194589954,"f = (#3 / ((#2 / ((0.10412736 / (5.3128448 - #1)) + #1)) + #5)) - (#1 * (#4 * #1)); p1 = [-10.401209, -11.27941, -4.8036866, -8.119782, -7.976245, -9.483408]; p2 = [-0.00074124435, -0.0007571568, 4.451568e-5, 3.0775232e-6, 4.842261e-6, -0.0001398797]; p3 = [-0.4170271, -0.37655303, 1.7232771, 1.4449558, 1.6218047, 0.5511495]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56760>,,21
23,0.0002937979,"f = (#3 / ((#2 / ((#1 + 0.22402902) + (#5 / (#1 - 5.09342)))) + #5)) - ((#4 * #1) * #1); p1 = [-10.287255, -11.157001, -4.7768555, -8.122495, -7.6168413, -9.481405]; p2 = [-0.0007266757, -0.00074500294, 4.004823e-5, -3.366951e-5, -2.8327553e-5, -0.00013274475]; p3 = [-0.41283172, -0.37460503, 1.7264307, 1.4067765, 1.1693909, 0.59310764]",0.0137427315360146,"f = (#3 / ((#2 / ((#1 + 0.22402902) + (#5 / (#1 - 5.09342)))) + #5)) - ((#4 * #1) * #1); p1 = [-10.287255, -11.157001, -4.7768555, -8.122495, -7.6168413, -9.481405]; p2 = [-0.0007266757, -0.00074500294, 4.004823e-5, -3.366951e-5, -2.8327553e-5, -0.00013274475]; p3 = [-0.41283172, -0.37460503, 1.7264307, 1.4067765, 1.1693909, 0.59310764]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56850>,,23
25,0.0002932387,"f = (#3 / ((#5 + (#2 / ((#5 / (#1 - 5.093608)) + (#1 - -0.22517465)))) + #4)) - ((#4 * #1) * #1); p1 = [-10.288175, -11.159175, -4.776971, -8.122619, -7.616619, -9.481247]; p2 = [-0.0007271887, -0.00074702385, 4.005248e-5, -3.391907e-5, -2.8320139e-5, -0.00013271031]; p3 = [-0.41240904, -0.3749283, 1.7263916, 1.406602, 1.1694235, 0.5933467]",0.0009525814389451,"f = (#3 / ((#5 + (#2 / ((#5 / (#1 - 5.093608)) + (#1 - -0.22517465)))) + #4)) - ((#4 * #1) * #1); p1 = [-10.288175, -11.159175, -4.776971, -8.122619, -7.616619, -9.481247]; p2 = [-0.0007271887, -0.00074702385, 4.005248e-5, -3.391907e-5, -2.8320139e-5, -0.00013271031]; p3 = [-0.41240904, -0.3749283, 1.7263916, 1.406602, 1.1694235, 0.5933467]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56940>,,25
26,0.00026788533,"f = (#4 * (#1 * #1)) + (#3 / (((#3 / (#3 - #1)) + #5) + (#2 / (#1 + (#5 / (#1 - 5.0653353)))))); p1 = [-10.92566, -11.920489, -4.9082475, -8.758699, -8.050532, -10.132207]; p2 = [0.00070395094, 0.00072881486, -4.5368863e-5, 0.00086372066, 0.0005311219, 0.0005110318]; p3 = [-0.4404936, -0.40737066, 1.7569073, -1.2995517, -0.7883148, -0.5257985]",0.0904279373041049,"f = (#4 * (#1 * #1)) + (#3 / (((#3 / (#3 - #1)) + #5) + (#2 / (#1 + (#5 / (#1 - 5.0653353)))))); p1 = [-10.92566, -11.920489, -4.9082475, -8.758699, -8.050532, -10.132207]; p2 = [0.00070395094, 0.00072881486, -4.5368863e-5, 0.00086372066, 0.0005311219, 0.0005110318]; p3 = [-0.4404936, -0.40737066, 1.7569073, -1.2995517, -0.7883148, -0.5257985]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56a30>,,26
27,0.0002542603,"f = (#3 / ((#5 + (#3 / (#3 - #1))) + (#2 / (#1 - (0.2765573 / (#1 - 5.191198)))))) - (#1 * (#1 * #4)); p1 = [-10.9161415, -11.941418, -4.8721886, -8.308487, -8.2712965, -10.126778]; p2 = [-0.00070261356, -0.0007322132, 4.21284e-5, -0.001012207, 9.917418e-6, -0.0005132602]; p3 = [-0.44016165, -0.4084858, 1.7584537, -2.0190341, 1.7099808, -0.53098774]",0.0522004703968229,"f = (#3 / ((#5 + (#3 / (#3 - #1))) + (#2 / (#1 - (0.2765573 / (#1 - 5.191198)))))) - (#1 * (#1 * #4)); p1 = [-10.9161415, -11.941418, -4.8721886, -8.308487, -8.2712965, -10.126778]; p2 = [-0.00070261356, -0.0007322132, 4.21284e-5, -0.001012207, 9.917418e-6, -0.0005132602]; p3 = [-0.44016165, -0.4084858, 1.7584537, -2.0190341, 1.7099808, -0.53098774]",<pysr.expression_specs.CallableJuliaExpression object at 0x153f30d56b20>,,27
