complexity,loss,equation,score,julia_expression,lambda_format,simplification_justification,original_complexity
1,1.5448527,"f = #4; p1 = [-0.9922383, 0.122684255, -0.37347576, -0.29906735, 1.0824363, -0.8266466]; p2 = [-2.5923688, -3.4127986, 1.7938792, 0.8056311, -1.0131707, -0.5312679]; p3 = [1.5031356, -0.90642273, 0.58582366, -0.05377352, 4.9755096, -0.008626953]",0.0,"f = #4; p1 = [-0.9922383, 0.122684255, -0.37347576, -0.29906735, 1.0824363, -0.8266466]; p2 = [-2.5923688, -3.4127986, 1.7938792, 0.8056311, -1.0131707, -0.5312679]; p3 = [1.5031356, -0.90642273, 0.58582366, -0.05377352, 4.9755096, -0.008626953]",<pysr.expression_specs.CallableJuliaExpression object at 0x147630437910>,,1
3,0.13468781,"f = #1 * #3; p1 = [-0.05038792, -0.04540294, -0.040122822, -0.06456788, -0.03254621, -0.041154474]; p2 = [0.5338115, -5.8131638, 1.2439998, 0.36955875, -0.6723554, 0.012672725]; p3 = [0.2661284, 0.2817254, 0.034177575, -0.015311326, 0.06831866, -0.16358176]",1.219862131530672,"f = #1 * #3; p1 = [-0.05038792, -0.04540294, -0.040122822, -0.06456788, -0.03254621, -0.041154474]; p2 = [0.5338115, -5.8131638, 1.2439998, 0.36955875, -0.6723554, 0.012672725]; p3 = [0.2661284, 0.2817254, 0.034177575, -0.015311326, 0.06831866, -0.16358176]",<pysr.expression_specs.CallableJuliaExpression object at 0x14763049a0d0>,,3
5,0.08121974,"f = (#3 * #1) + #4; p1 = [-0.0419529, -0.037558667, -0.041832488, -0.06136319, -0.029791163, -0.04479819]; p2 = [-0.55835503, -0.7842981, -0.14094086, 0.19216427, -0.11935654, 0.36440656]; p3 = [0.22950856, 0.110371865, -0.23039366, -2.9458027, 0.5079571, 0.9665372]",0.2529006304242475,"f = (#3 * #1) + #4; p1 = [-0.0419529, -0.037558667, -0.041832488, -0.06136319, -0.029791163, -0.04479819]; p2 = [-0.55835503, -0.7842981, -0.14094086, 0.19216427, -0.11935654, 0.36440656]; p3 = [0.22950856, 0.110371865, -0.23039366, -2.9458027, 0.5079571, 0.9665372]",<pysr.expression_specs.CallableJuliaExpression object at 0x14763049aa60>,,5
7,0.0011461199,"f = #1 / ((#1 * #3) - #5); p1 = [-0.11125345, -0.10579444, -0.3987642, -0.17493449, -0.19659957, -0.12456501]; p2 = [-0.44716507, 0.1850353, 0.021411479, 0.032801617, 0.020693194, -0.13360769]; p3 = [11.73282, 10.662145, 59.765667, 20.843506, 21.4084, 19.158459]",2.130388041734723,"f = #1 / ((#1 * #3) - #5); p1 = [-0.11125345, -0.10579444, -0.3987642, -0.17493449, -0.19659957, -0.12456501]; p2 = [-0.44716507, 0.1850353, 0.021411479, 0.032801617, 0.020693194, -0.13360769]; p3 = [11.73282, 10.662145, 59.765667, 20.843506, 21.4084, 19.158459]",<pysr.expression_specs.CallableJuliaExpression object at 0x14763049ad30>,,7
9,0.000873694,"f = #4 + (#1 / ((#1 * #3) - #5)); p1 = [-0.11606691, -0.106381476, -0.3929273, -0.17546982, -0.19769096, -0.13411608]; p2 = [0.0911238, 0.0007705973, -0.0033366154, 0.0010689821, 0.00034948473, -0.058093566]; p3 = [10.87986, 10.6005, 59.196083, 20.87041, 21.343798, 19.212086]",0.1357036583245232,"f = #4 + (#1 / ((#1 * #3) - #5)); p1 = [-0.11606691, -0.106381476, -0.3929273, -0.17546982, -0.19769096, -0.13411608]; p2 = [0.0911238, 0.0007705973, -0.0033366154, 0.0010689821, 0.00034948473, -0.058093566]; p3 = [10.87986, 10.6005, 59.196083, 20.87041, 21.343798, 19.212086]",<pysr.expression_specs.CallableJuliaExpression object at 0x14763049a310>,,9
11,0.00064809946,"f = (#4 + (#5 / ((#3 * #1) - #2))) * #1; p1 = [-0.8113612, -1.7517184, -1.8128946, -1.4096142, -1.7608141, -0.27391148]; p2 = [0.017849213, -0.0076007913, -0.0039760694, 0.0012161944, -0.0028124377, 0.14381917]; p3 = [12.945959, 11.9758215, 3.6527987, 8.343771, 7.531684, 33.95303]",0.1493430138530634,"f = (#4 + (#5 / ((#3 * #1) - #2))) * #1; p1 = [-0.8113612, -1.7517184, -1.8128946, -1.4096142, -1.7608141, -0.27391148]; p2 = [0.017849213, -0.0076007913, -0.0039760694, 0.0012161944, -0.0028124377, 0.14381917]; p3 = [12.945959, 11.9758215, 3.6527987, 8.343771, 7.531684, 33.95303]",<pysr.expression_specs.CallableJuliaExpression object at 0x14763049acd0>,,11
13,0.00041502988,"f = ((#4 / ((#1 * #3) - #2)) - (#1 * #5)) * #1; p1 = [0.40708342, 0.37358946, -1.7242796, 2.13183, -1.6442966, -0.54734254]; p2 = [10.338864, 11.218665, 4.7936616, 7.8467493, 7.9860053, 9.485731]; p3 = [-0.00072164304, -0.0007462245, 4.393299e-5, -0.0010368995, 6.8375066e-6, -0.00014088709]",0.222846827294874,"f = ((#4 / ((#1 * #3) - #2)) - (#1 * #5)) * #1; p1 = [0.40708342, 0.37358946, -1.7242796, 2.13183, -1.6442966, -0.54734254]; p2 = [10.338864, 11.218665, 4.7936616, 7.8467493, 7.9860053, 9.485731]; p3 = [-0.00072164304, -0.0007462245, 4.393299e-5, -0.0010368995, 6.8375066e-6, -0.00014088709]",<pysr.expression_specs.CallableJuliaExpression object at 0x1476303d00d0>,,13
15,0.00041147115,"f = (#1 * #4) * ((#2 / ((#3 * #1) - #2)) - (#5 * #1)); p1 = [0.4126508, 0.377215, -1.724813, -1.4317666, -1.7316813, -0.53825486]; p2 = [0.07975335, 0.086708285, 0.018413378, 0.047847137, 0.047261313, 0.055834252]; p3 = [-0.009176466, -0.008736659, 0.0023625984, -3.811675e-5, 0.00028684008, -0.0025660752]",0.0043058046677442,"f = (#1 * #4) * ((#2 / ((#3 * #1) - #2)) - (#5 * #1)); p1 = [0.4126508, 0.377215, -1.724813, -1.4317666, -1.7316813, -0.53825486]; p2 = [0.07975335, 0.086708285, 0.018413378, 0.047847137, 0.047261313, 0.055834252]; p3 = [-0.009176466, -0.008736659, 0.0023625984, -3.811675e-5, 0.00028684008, -0.0025660752]",<pysr.expression_specs.CallableJuliaExpression object at 0x1476303d01c0>,,15
17,0.00040657847,"f = (#1 * (#4 * ((#2 / ((#1 * #3) - #2)) - (#5 * #1)))) - #5; p1 = [0.41411975, 0.37672132, -1.7239213, -1.420483, -1.6388247, -0.5479868]; p2 = [0.080208, 0.08694352, 0.018375922, 0.047892958, 0.046952613, 0.05577849]; p3 = [-0.009221792, -0.008731067, 0.0022689367, -0.00014324722, 0.00013619656, -0.0025086224]",0.0059809799072749,"f = (#1 * (#4 * ((#2 / ((#1 * #3) - #2)) - (#5 * #1)))) - #5; p1 = [0.41411975, 0.37672132, -1.7239213, -1.420483, -1.6388247, -0.5479868]; p2 = [0.080208, 0.08694352, 0.018375922, 0.047892958, 0.046952613, 0.05577849]; p3 = [-0.009221792, -0.008731067, 0.0022689367, -0.00014324722, 0.00013619656, -0.0025086224]",<pysr.expression_specs.CallableJuliaExpression object at 0x1476303d02b0>,,17
19,0.0003872047,"f = (((#2 / ((#1 * #3) - #2)) - (#1 * #5)) * (#4 * #1)) + (0.008766301 / #3); p1 = [0.42260563, 0.37758812, -1.722099, 2.2106977, -1.4632146, -0.6087331]; p2 = [0.08107152, 0.087515995, 0.018381448, 0.045923535, 0.046016723, 0.05564425]; p3 = [-0.009404224, -0.008762874, 0.002207961, -0.022816908, -0.00011803126, -0.0023231392]",0.0244117273651401,"f = (((#2 / ((#1 * #3) - #2)) - (#1 * #5)) * (#4 * #1)) + (0.008766301 / #3); p1 = [0.42260563, 0.37758812, -1.722099, 2.2106977, -1.4632146, -0.6087331]; p2 = [0.08107152, 0.087515995, 0.018381448, 0.045923535, 0.046016723, 0.05564425]; p3 = [-0.009404224, -0.008762874, 0.002207961, -0.022816908, -0.00011803126, -0.0023231392]",<pysr.expression_specs.CallableJuliaExpression object at 0x1476303d03a0>,,19
