,complexity,loss,equation,score,julia_expression,lambda_format
0,1,1.5448527,"f = #2; p1 = [-2.592389, -3.4127774, 1.7938461, 0.8059314, -1.013102, -0.5315039]; p2 = [0.040164176, -0.75681293, 0.1421457, -0.4994564, -2.2216504, 4.933181]",0.0,"f = #2; p1 = [-2.592389, -3.4127774, 1.7938461, 0.8059314, -1.013102, -0.5315039]; p2 = [0.040164176, -0.75681293, 0.1421457, -0.4994564, -2.2216504, 4.933181]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af7fba30>
1,3,0.13468781,"f = #2 * #1; p1 = [-0.05038792, -0.045402613, -0.040122498, -0.06456394, -0.032545466, -0.041153714]; p2 = [10.654022, -9.775262, -9.5706, 0.43099144, 7.5042505, -10.414583]",1.2198621315306721,"f = #2 * #1; p1 = [-0.05038792, -0.045402613, -0.040122498, -0.06456394, -0.032545466, -0.041153714]; p2 = [10.654022, -9.775262, -9.5706, 0.43099144, 7.5042505, -10.414583]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af7fb0d0>
2,5,0.08121974,"f = #3 + (#1 * #2); p1 = [-0.041952804, -0.03755876, -0.041832726, -0.061362192, -0.02979092, -0.04479766]; p2 = [-0.5583621, -0.78428805, -0.14095946, 0.19222848, -0.11936734, 0.36435238]",0.2529006304242475,"f = #3 + (#1 * #2); p1 = [-0.041952804, -0.03755876, -0.041832726, -0.061362192, -0.02979092, -0.04479766]; p2 = [-0.5583621, -0.78428805, -0.14095946, 0.19222848, -0.11936734, 0.36435238]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af7fbd60>
3,7,0.0011446737,"f = #1 / (#3 - (#1 / #2)); p1 = [9.001502, 9.460334, 2.5283308, 5.6697817, 5.0788093, 8.029337]; p2 = [-11.743147, -10.669861, -59.4562, -20.90013, -21.390821, -19.147352]",2.1310193514223914,"f = #1 / (#3 - (#1 / #2)); p1 = [9.001502, 9.460334, 2.5283308, 5.6697817, 5.0788093, 8.029337]; p2 = [-11.743147, -10.669861, -59.4562, -20.90013, -21.390821, -19.147352]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af7fb2b0>
4,9,0.0011446733,"f = (#2 * #1) / ((#3 * #2) - #1); p1 = [9.001499, 9.460332, 2.5282998, 5.6697817, 5.078809, 8.029337]; p2 = [-11.743151, -10.669862, -59.456196, -20.90013, -21.390821, -19.147352]",1.747223116156073e-07,"f = (#2 * #1) / ((#3 * #2) - #1); p1 = [9.001499, 9.460332, 2.5282998, 5.6697817, 5.078809, 8.029337]; p2 = [-11.743151, -10.669862, -59.456196, -20.90013, -21.390821, -19.147352]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af7fbbe0>
5,10,0.0011400863,"f = (0.090306 - #1) / ((#1 / #2) - #3); p1 = [8.958348, 9.441312, 2.5221074, 5.7044168, 5.033317, 8.073361]; p2 = [-11.677178, -10.627407, -59.571865, -20.892334, -21.243347, -19.153746]",0.004015307486090267,"f = (0.090306 - #1) / ((#1 / #2) - #3); p1 = [8.958348, 9.441312, 2.5221074, 5.7044168, 5.033317, 8.073361]; p2 = [-11.677178, -10.627407, -59.571865, -20.892334, -21.243347, -19.153746]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af72a100>
6,11,0.0010415132,"f = ((#2 * (#1 * #2)) + #2) / (#3 - #1); p1 = [-2.972347, 3.0866182, 1.601597, -2.4156036, 2.315098, 2.8020604]; p2 = [-101.53004, -103.08957, -150.74742, -121.749886, -118.894745, -150.13718]",0.09042930562913748,"f = ((#2 * (#1 * #2)) + #2) / (#3 - #1); p1 = [-2.972347, 3.0866182, 1.601597, -2.4156036, 2.315098, 2.8020604]; p2 = [-101.53004, -103.08957, -150.74742, -121.749886, -118.894745, -150.13718]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af72a1f0>
7,12,0.0008302319,"f = #1 * (((#2 / (#3 - #1)) - 0.004498479) * #2); p1 = [-4.001052, 2.4187062, 1.3321298, -2.9551747, 1.7380391, -3.8523622]; p2 = [-160.48578, -63.227165, -139.89241, -142.19872, -75.08043, -209.35815]",0.22672487529178934,"f = #1 * (((#2 / (#3 - #1)) - 0.004498479) * #2); p1 = [-4.001052, 2.4187062, 1.3321298, -2.9551747, 1.7380391, -3.8523622]; p2 = [-160.48578, -63.227165, -139.89241, -142.19872, -75.08043, -209.35815]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af72a2e0>
8,14,0.00066166255,"f = (((#3 * 2.4431272e-5) + (#2 / (#3 - #1))) * #2) * #1; p1 = [-3.7547498, 2.743637, 1.383534, -2.7760952, 1.969357, -8.586722]; p2 = [-147.18494, -81.630226, -141.95491, -134.78107, -90.251656, -474.97745]",0.11347468829270456,"f = (((#3 * 2.4431272e-5) + (#2 / (#3 - #1))) * #2) * #1; p1 = [-3.7547498, 2.743637, 1.383534, -2.7760952, 1.969357, -8.586722]; p2 = [-147.18494, -81.630226, -141.95491, -134.78107, -90.251656, -474.97745]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af72a3d0>
9,16,0.00066166103,"f = (((#3 * #1) * 2.443095e-5) + (#1 * (#2 / (#3 - #1)))) * #2; p1 = [-3.7547498, 2.743637, 1.383534, -2.7760952, 1.969357, -8.586722]; p2 = [-147.18494, -81.630226, -141.95491, -134.78107, -90.251656, -474.97745]",1.1486230752648486e-06,"f = (((#3 * #1) * 2.443095e-5) + (#1 * (#2 / (#3 - #1)))) * #2; p1 = [-3.7547498, 2.743637, 1.383534, -2.7760952, 1.969357, -8.586722]; p2 = [-147.18494, -81.630226, -141.95491, -134.78107, -90.251656, -474.97745]",<pysr.expression_specs.CallableJuliaExpression object at 0x14a6af72a4c0>
