complexity,loss,equation,score,julia_expression,lambda_format,simplification_justification,original_complexity
1,1.7099646,"f = #3; p1 = [-2.7000039, -3.5198672, 1.2901917, 0.6903059, -0.9578092, -0.6201921]; p2 = [0.19789523, -0.27609956, 1.0736399, -1.0268596, 0.97830415, -3.1266975]",0.0,"f = #3; p1 = [-2.7000039, -3.5198672, 1.2901917, 0.6903059, -0.9578092, -0.6201921]; p2 = [0.19789523, -0.27609956, 1.0736399, -1.0268596, 0.97830415, -3.1266975]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a39bb910>,,1
3,0.15290909,"f = #1 * #4; p1 = [0.29758042, 0.5346768, -0.00032487995, -0.82855237, -0.49921238, 0.113240555]; p2 = [-0.04927329, -0.04491866, -0.04108343, -0.06595533, -0.032689113, -0.04115435]",1.2071921928694078,"f = #1 * #4; p1 = [0.29758042, 0.5346768, -0.00032487995, -0.82855237, -0.49921238, 0.113240555]; p2 = [-0.04927329, -0.04491866, -0.04108343, -0.06595533, -0.032689113, -0.04115435]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a39bb1c0>,,3
5,0.09466962,"f = #3 - (#4 * #1); p1 = [-0.54387826, -0.77472275, -0.13604468, 0.2685045, -0.120411, 0.44359493]; p2 = [0.041573517, 0.037442565, 0.042784188, 0.06327019, 0.029825846, 0.045590077]",0.2397252077998233,"f = #3 - (#4 * #1); p1 = [-0.54387826, -0.77472275, -0.13604468, 0.2685045, -0.120411, 0.44359493]; p2 = [0.041573517, 0.037442565, 0.042784188, 0.06327019, 0.029825846, 0.045590077]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a39bbfa0>,,5
7,0.0012839412,"f = (#1 * #4) / (#3 - #1); p1 = [-105.88216, -100.30991, -151.69589, -118.31599, -110.47199, -153.69011]; p2 = [9.007306, 9.468485, 2.6034238, 5.65617, 5.142482, 8.026936]",2.150229368181461,"f = (#1 * #4) / (#3 - #1); p1 = [-105.88216, -100.30991, -151.69589, -118.31599, -110.47199, -153.69011]; p2 = [9.007306, 9.468485, 2.6034238, 5.65617, 5.142482, 8.026936]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a39bbbe0>,,7
9,0.0012615772,"f = ((#4 / (#1 - #3)) + 0.0038281623) * #1; p1 = [-117.57526, -114.96597, -159.79355, -125.44699, -126.84479, -165.80789]; p2 = [-10.33629, -11.00801, -3.238722, -6.4986587, -6.347148, -9.35645]",0.0087858628062108,"f = ((#4 / (#1 - #3)) + 0.0038281623) * #1; p1 = [-117.57526, -114.96597, -159.79355, -125.44699, -126.84479, -165.80789]; p2 = [-10.33629, -11.00801, -3.238722, -6.4986587, -6.347148, -9.35645]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a38e9100>,,9
11,0.0008218582,"f = ((#4 / (#3 - #1)) + 0.006475922) * (#1 * #4); p1 = [-201.18796, -47.54768, -135.632, -95.46668, -66.01704, -248.71503]; p2 = [4.719276, -2.1896603, -1.2292604, -1.8299235, -1.5865947, 4.56202]",0.2142750445518984,"f = ((#4 / (#3 - #1)) + 0.006475922) * (#1 * #4); p1 = [-201.18796, -47.54768, -135.632, -95.46668, -66.01704, -248.71503]; p2 = [4.719276, -2.1896603, -1.2292604, -1.8299235, -1.5865947, 4.56202]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a38e91f0>,,11
13,0.00078164507,"f = (#1 * (#4 - -1.0870465)) * ((#4 / (#3 - #1)) + 0.0063842502); p1 = [-217.15065, -55.88694, -139.93083, -99.21247, -75.27044, -263.70343]; p2 = [4.489973, -2.9405863, -1.9851029, -2.548979, -2.356668, 4.3299007]",0.0250835556299273,"f = (#1 * (#4 - -1.0870465)) * ((#4 / (#3 - #1)) + 0.0063842502); p1 = [-217.15065, -55.88694, -139.93083, -99.21247, -75.27044, -263.70343]; p2 = [4.489973, -2.9405863, -1.9851029, -2.548979, -2.356668, 4.3299007]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a38e92e0>,,13
15,0.0007401338,"f = #4 * ((#1 * (((#1 + #2) / (#3 - #1)) + 0.7966264)) + 0.117742926); p1 = [-271.55554, -51.04021, -144.43134, -99.93003, -78.56313, -299.14957]; p2 = [-0.24258134, 0.06446293, 0.017945781, 0.05248982, 0.03508403, -0.24032553]",0.0272848910839964,"f = #4 * ((#1 * (((#1 + #2) / (#3 - #1)) + 0.7966264)) + 0.117742926); p1 = [-271.55554, -51.04021, -144.43134, -99.93003, -78.56313, -299.14957]; p2 = [-0.24258134, 0.06446293, 0.017945781, 0.05248982, 0.03508403, -0.24032553]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a38e93d0>,,15
17,0.0007108869,"f = -0.8211073 - ((((#2 + (9.019561 / (#1 + 23.008772))) / (#3 - #1)) - -1.1912518) * #4); p1 = [-98.2464, -99.928116, -153.16615, -123.20758, -121.73485, -128.40134]; p2 = [6.627545, 7.2230387, 1.5835147, 4.382992, 3.9014544, 4.987711]",0.020158817622344,"f = -0.8211073 - ((((#2 + (9.019561 / (#1 + 23.008772))) / (#3 - #1)) - -1.1912518) * #4); p1 = [-98.2464, -99.928116, -153.16615, -123.20758, -121.73485, -128.40134]; p2 = [6.627545, 7.2230387, 1.5835147, 4.382992, 3.9014544, 4.987711]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a38e94c0>,,17
19,0.0005837573,"f = ((#1 - (-0.7850192 - (-1.5596797 / (#1 - #4)))) * ((#4 / (#3 - #1)) + 0.0058228313)) * #4; p1 = [-197.42093, -53.99057, -137.64313, -91.33994, -75.57696, -220.14656]; p2 = [4.5501914, -2.2609346, -1.2770512, -1.8017068, -1.6553677, 4.156021]",0.0985140155808993,"f = ((#1 - (-0.7850192 - (-1.5596797 / (#1 - #4)))) * ((#4 / (#3 - #1)) + 0.0058228313)) * #4; p1 = [-197.42093, -53.99057, -137.64313, -91.33994, -75.57696, -220.14656]; p2 = [4.5501914, -2.2609346, -1.2770512, -1.8017068, -1.6553677, 4.156021]",<pysr.expression_specs.CallableJuliaExpression object at 0x1505a38e95b0>,,19
