complexity,loss,equation,score,julia_expression,lambda_format,simplification_justification,original_complexity
1,1.7099646,"f = #3; p1 = [-2.7000005, -3.5198648, 1.2902043, 0.690518, -0.95784247, -0.6201773]; p2 = [0.05549172, 2.1724997, 0.48152226, 0.02073044, 1.3393296, 0.88123083]",0.0,"f = #3; p1 = [-2.7000005, -3.5198648, 1.2902043, 0.690518, -0.95784247, -0.6201773]; p2 = [0.05549172, 2.1724997, 0.48152226, 0.02073044, 1.3393296, 0.88123083]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff44a910>,,1
3,0.15290909,"f = #1 * #4; p1 = [-0.18457195, -0.004663607, -0.6856151, -0.96094185, 0.5978742, -0.27632186]; p2 = [-0.049273066, -0.044918645, -0.041083906, -0.06595257, -0.03268912, -0.041154593]",1.2071921928694078,"f = #1 * #4; p1 = [-0.18457195, -0.004663607, -0.6856151, -0.96094185, 0.5978742, -0.27632186]; p2 = [-0.049273066, -0.044918645, -0.041083906, -0.06595257, -0.03268912, -0.041154593]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff44a190>,,3
5,0.09466962,"f = (#1 * #4) - #3; p1 = [0.54382247, 0.7747056, 0.13611384, -0.2685341, 0.12039614, -0.44353953]; p2 = [-0.04157434, -0.037442688, -0.042784885, -0.06327105, -0.029826077, -0.045589667]",0.2397252077998233,"f = (#1 * #4) - #3; p1 = [0.54382247, 0.7747056, 0.13611384, -0.2685341, 0.12039614, -0.44353953]; p2 = [-0.04157434, -0.037442688, -0.042784885, -0.06327105, -0.029826077, -0.045589667]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff44af70>,,5
7,0.001283945,"f = #1 * (#4 / ((#2 - #3) + #1)); p1 = [24.166836, 29.693441, 108.31691, 51.62115, 59.459457, 16.285467]; p2 = [-9.004774, -9.468343, -2.6027944, -5.660401, -5.144848, -8.028028]",2.4182694066616212e-05,"f = #1 * (#4 / ((#2 - #3) + #1)); p1 = [24.166836, 29.693441, 108.31691, 51.62115, 59.459457, 16.285467]; p2 = [-9.004774, -9.468343, -2.6027944, -5.660401, -5.144848, -8.028028]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c0d0>,"['c4*x/(t+x-c3)', 'c6*x/(c7+x)']",9
10,0.0012617927,"f = #1 * ((#4 / (#3 + #1)) - -0.0037316438); p1 = [117.194855, 114.595436, 159.7004, 124.915855, 126.12563, 165.42883]; p2 = [-10.297022, -10.967744, -3.2276242, -6.4509115, -6.303898, -9.317946]",0.0174038819074834,"f = #1 * ((#4 / (#3 + #1)) - -0.0037316438); p1 = [117.194855, 114.595436, 159.7004, 124.915855, 126.12563, 165.42883]; p2 = [-10.297022, -10.967744, -3.2276242, -6.4509115, -6.303898, -9.317946]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c1c0>,,10
11,0.00125255,"f = (#4 * (#1 / (#3 + #1))) + (#1 / #2); p1 = [129.42262, 130.08098, 159.74234, 129.38252, 136.5997, 172.19832]; p2 = [-11.77121, -12.693414, -3.2374325, -6.981586, -7.083129, -10.102165]",0.007352014212105,"f = (#4 * (#1 / (#3 + #1))) + (#1 / #2); p1 = [129.42262, 130.08098, 159.74234, 129.38252, 136.5997, 172.19832]; p2 = [-11.77121, -12.693414, -3.2374325, -6.981586, -7.083129, -10.102165]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c2b0>,,11
12,0.0012017286,"f = (#4 / (#3 - (#2 / (#3 - #1)))) - 0.07006759; p1 = [1.2986284, 1.2999631, 1.6717108, 1.429311, 1.5077258, 1.1114479]; p2 = [-11.229099, -12.193421, -4.521892, -7.9126368, -7.68201, -8.739044]",0.0414204530706555,"f = (#4 / (#3 - (#2 / (#3 - #1)))) - 0.07006759; p1 = [1.2986284, 1.2999631, 1.6717108, 1.429311, 1.5077258, 1.1114479]; p2 = [-11.229099, -12.193421, -4.521892, -7.9126368, -7.68201, -8.739044]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c3a0>,,12
13,0.00085309613,"f = (#1 * (#4 / (#1 + #3))) - (#1 / (#2 - #3)); p1 = [175.07191, 52.16476, 135.24396, 93.424614, 67.97105, 218.24327]; p2 = [-18.05745, -5.1581545, -1.4934477, -3.1604962, -2.616005, -16.265682]",0.3426440617435679,"f = (#1 * (#4 / (#1 + #3))) - (#1 / (#2 - #3)); p1 = [175.07191, 52.16476, 135.24396, 93.424614, 67.97105, 218.24327]; p2 = [-18.05745, -5.1581545, -1.4934477, -3.1604962, -2.616005, -16.265682]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c490>,,13
14,0.00085270905,"f = #1 * ((0.97306126 / (#3 - #2)) + (#4 / (#3 + #1))); p1 = [174.45229, 53.150986, 135.68808, 93.50156, 69.25164, 217.87096]; p2 = [-17.938177, -5.2221417, -1.5188159, -3.184234, -2.66263, -16.139074]",0.0004538384701633,"f = #1 * ((0.97306126 / (#3 - #2)) + (#4 / (#3 + #1))); p1 = [174.45229, 53.150986, 135.68808, 93.50156, 69.25164, 217.87096]; p2 = [-17.938177, -5.2221417, -1.5188159, -3.184234, -2.66263, -16.139074]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c580>,,14
15,0.00076043,"f = ((#4 + (#1 / (#3 - #2))) * #1) / ((#3 + #3) + #1); p1 = [146.93813, 31.12979, 70.47095, 51.235596, 38.89416, 184.84224]; p2 = [-22.949314, -6.5956473, -2.5900085, -4.84817, -3.7077768, -20.395964]",0.1145343362819812,"f = ((#4 + (#1 / (#3 - #2))) * #1) / ((#3 + #3) + #1); p1 = [146.93813, 31.12979, 70.47095, 51.235596, 38.89416, 184.84224]; p2 = [-22.949314, -6.5956473, -2.5900085, -4.84817, -3.7077768, -20.395964]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c670>,,15
17,0.0007490938,"f = ((#1 / (#3 - (#4 + #2))) + #4) * (#1 / ((#3 + #3) + #1)); p1 = [130.10454, 30.023611, 70.348625, 50.902035, 38.4197, 168.78244]; p2 = [-20.463797, -6.429933, -2.5849102, -4.813142, -3.6675951, -18.567413]",0.0075099267172715,"f = ((#1 / (#3 - (#4 + #2))) + #4) * (#1 / ((#3 + #3) + #1)); p1 = [130.10454, 30.023611, 70.348625, 50.902035, 38.4197, 168.78244]; p2 = [-20.463797, -6.429933, -2.5849102, -4.813142, -3.6675951, -18.567413]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c760>,,17
18,0.0007264656,"f = ((#1 / ((#3 + #3) + #1)) + 0.0010690584) * (#4 + (#1 / (#3 - #2))); p1 = [147.61607, 31.233465, 70.66837, 50.83005, 39.434143, 184.33696]; p2 = [-22.732851, -6.5907574, -2.6105986, -4.794869, -3.729177, -20.407194]",0.0306730777414288,"f = ((#1 / ((#3 + #3) + #1)) + 0.0010690584) * (#4 + (#1 / (#3 - #2))); p1 = [147.61607, 31.233465, 70.66837, 50.83005, 39.434143, 184.33696]; p2 = [-22.732851, -6.5907574, -2.6105986, -4.794869, -3.729177, -20.407194]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c850>,,18
19,0.0006998137,"f = (#1 / (#3 - #2)) + ((#1 * #4) / ((#4 / (#4 + #1)) + (#3 + #1))); p1 = [176.0336, 52.236847, 135.1723, 93.24932, 68.11326, 217.79791]; p2 = [-17.981632, -5.156252, -1.4913633, -3.156007, -2.6157656, -16.269674]",0.0373769748156057,"f = (#1 / (#3 - #2)) + ((#1 * #4) / ((#4 / (#4 + #1)) + (#3 + #1))); p1 = [176.0336, 52.236847, 135.1723, 93.24932, 68.11326, 217.79791]; p2 = [-17.981632, -5.156252, -1.4913633, -3.156007, -2.6157656, -16.269674]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c940>,,19
20,0.0006858914,"f = (#1 / (#3 - #2)) + (((#4 / (#1 + #3)) - (0.009023621 / (#1 + #4))) * #1); p1 = [176.17964, 52.444786, 135.8796, 91.86676, 70.19068, 217.56085]; p2 = [-17.958221, -5.145468, -1.5213777, -3.092371, -2.6149583, -16.247663]",0.0200948506081806,"f = (#1 / (#3 - #2)) + (((#4 / (#1 + #3)) - (0.009023621 / (#1 + #4))) * #1); p1 = [176.17964, 52.444786, 135.8796, 91.86676, 70.19068, 217.56085]; p2 = [-17.958221, -5.145468, -1.5213777, -3.092371, -2.6149583, -16.247663]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37ca30>,,20
21,0.00067543075,"f = ((#1 / (#2 - #1)) + ((#4 + (#1 / (#3 - #2))) * #1)) / (#3 + (#3 + #1)); p1 = [146.98721, 31.101408, 70.48337, 51.23525, 38.89338, 184.85988]; p2 = [-22.955908, -6.5983706, -2.5944796, -4.852731, -3.7176309, -20.412834]",0.0153686706650539,"f = ((#1 / (#2 - #1)) + ((#4 + (#1 / (#3 - #2))) * #1)) / (#3 + (#3 + #1)); p1 = [146.98721, 31.101408, 70.48337, 51.23525, 38.89338, 184.85988]; p2 = [-22.955908, -6.5983706, -2.5944796, -4.852731, -3.7176309, -20.412834]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37cb20>,,21
22,0.0006436016,"f = (#4 + ((#1 + (#2 / (#1 - #2))) / (#3 - (#2 / 0.6793988)))) * (#1 / (#1 + #3)); p1 = [218.31007, 67.692, 143.51413, 102.06858, 85.12058, 276.31995]; p2 = [-17.373287, -7.0710444, -2.6117384, -4.7666216, -4.0313, -14.983584]",0.0482707343594349,"f = (#4 + ((#1 + (#2 / (#1 - #2))) / (#3 - (#2 / 0.6793988)))) * (#1 / (#1 + #3)); p1 = [218.31007, 67.692, 143.51413, 102.06858, 85.12058, 276.31995]; p2 = [-17.373287, -7.0710444, -2.6117384, -4.7666216, -4.0313, -14.983584]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37cc10>,,22
24,0.0006254189,"f = (#1 / (#1 + #3)) * (#4 + ((((#3 + #3) / (#1 - #2)) + #1) / (#3 - (#2 / 0.67964727)))); p1 = [215.82866, 68.03932, 143.53653, 102.45107, 85.062706, 275.9485]; p2 = [-17.253351, -7.0849648, -2.6139107, -4.790924, -4.0284314, -14.880355]",0.0143291179527064,"f = (#1 / (#1 + #3)) * (#4 + ((((#3 + #3) / (#1 - #2)) + #1) / (#3 - (#2 / 0.67964727)))); p1 = [215.82866, 68.03932, 143.53653, 102.45107, 85.062706, 275.9485]; p2 = [-17.253351, -7.0849648, -2.6139107, -4.790924, -4.0284314, -14.880355]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37cd00>,,24
26,0.00048093847,"f = ((#1 / (#1 - #2)) / (#3 - #1)) + (-0.72725886 - (#4 / ((#2 / ((#3 - #1) + 30.903755)) - 1.2381513))); p1 = [-21.050499, -22.709175, 27.21084, -13.520312, -12.686112, -19.408548]; p2 = [-9.794637, -10.6251955, -2.3397582, -6.2235017, -5.820711, -7.2716055]",0.1313411621503164,"f = ((#1 / (#1 - #2)) / (#3 - #1)) + (-0.72725886 - (#4 / ((#2 / ((#3 - #1) + 30.903755)) - 1.2381513))); p1 = [-21.050499, -22.709175, 27.21084, -13.520312, -12.686112, -19.408548]; p2 = [-9.794637, -10.6251955, -2.3397582, -6.2235017, -5.820711, -7.2716055]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37cdf0>,,26
29,0.00046066754,"f = (((#1 / (#2 - #1)) + 0.35639265) / (#1 - #3)) + (-0.6854808 - (#4 / ((#2 / (32.047123 + (#3 - #1))) - 1.2435389))); p1 = [-22.889235, -24.507484, 26.998955, -16.250666, -15.405785, -21.479025]; p2 = [-9.891312, -10.724767, -2.238868, -6.4526486, -5.8935113, -7.4072747]",0.0143542431547864,"f = (((#1 / (#2 - #1)) + 0.35639265) / (#1 - #3)) + (-0.6854808 - (#4 / ((#2 / (32.047123 + (#3 - #1))) - 1.2435389))); p1 = [-22.889235, -24.507484, 26.998955, -16.250666, -15.405785, -21.479025]; p2 = [-9.891312, -10.724767, -2.238868, -6.4526486, -5.8935113, -7.4072747]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37cee0>,,29
30,0.00045930536,"f = (-0.3469342 / (#3 - #1)) + (-0.68106896 - (#4 / (((#2 / ((#3 + 32.664528) - #1)) + (-0.42809215 / (#2 - #1))) - 1.2458326))); p1 = [-23.518211, -25.153067, 25.721907, -16.915356, -16.0487, -22.110003]; p2 = [-9.890225, -10.724162, -2.2569902, -6.4523735, -5.881012, -7.4082084]",0.0029613502647316,"f = (-0.3469342 / (#3 - #1)) + (-0.68106896 - (#4 / (((#2 / ((#3 + 32.664528) - #1)) + (-0.42809215 / (#2 - #1))) - 1.2458326))); p1 = [-23.518211, -25.153067, 25.721907, -16.915356, -16.0487, -22.110003]; p2 = [-9.890225, -10.724162, -2.2569902, -6.4523735, -5.881012, -7.4082084]",<pysr.expression_specs.CallableJuliaExpression object at 0x154bff37c070>,,30
