,complexity,loss,equation,score,sympy_format,lambda_format
0,1,7.328668,2.4446692,0.0,2.44466920000000,PySRFunction(X=>2.44466920000000)
1,3,5.1689167,x0 * 4.856426,0.17456532482061046,x0*4.856426,PySRFunction(X=>x0*4.856426)
2,4,3.5760128,cube(x0 * 2.0209074),0.36841469405807675,8.25352065527818*x0**3,PySRFunction(X=>8.25352065527818*x0**3)
3,5,2.2116227,-0.6329044 / (x0 + -1.0133306),0.4805219372320229,-0.6329044/(x0 - 1.0133306),PySRFunction(X=>-0.6329044/(x0 - 1.0133306))
4,6,2.086988,-1.2645919 / (cube(x0) + -0.9808932),0.058004621292860895,-1.2645919/(x0**3 - 0.9808932),PySRFunction(X=>-1.2645919/(x0**3 - 0.9808932))
5,7,1.9583931,-1.4011545 / (cube(x0) - tanh(x1)),0.06359758815297271,-1.4011545/(x0**3 - tanh(x1)),PySRFunction(X=>-1.4011545/(x0**3 - tanh(x1)))
6,8,1.5957717,-1.398136 / (cube(x0) - cube(tanh(x1))),0.2047668463624423,-1.398136/(x0**3 - tanh(x1)**3),PySRFunction(X=>-1.398136/(x0**3 - tanh(x1)**3))
7,9,1.2962956,-1.3452015 / (tanh(0.76388925 - x1) + cube(x0)),0.20784678534082393,-1.3452015/(x0**3 + tanh(0.76388925 - x1)),PySRFunction(X=>-1.3452015/(x0**3 + tanh(0.76388925 - x1)))
8,10,0.74750674,-0.5568027 / ((x0 + -1.0048628) * tanh(x1 * x0)),0.5505226153776213,-0.5568027*1/((x0 - 1.0048628)*tanh(x0*x1)),PySRFunction(X=>-0.5568027*1/((x0 - 1.0048628)*tanh(x0*x1)))
9,12,0.73839974,((-0.5931848 / (x0 + -1.0075808)) / tanh(x1 * x0)) + -0.16429175,0.006128995435347343,-0.16429175 - 0.5931848/((x0 - 1.0075808)*tanh(x0*x1)),PySRFunction(X=>-0.16429175 - 0.5931848/((x0 - 1.0075808)*tanh(x0*x1)))
10,13,0.7347992,(0.6039506 / (x1 * x0)) + (-1.306073 / (x0 + (-1.0261252 / x0))),0.0048880664671540775,-1.306073/(x0 - 1.0261252/x0) + 0.6039506/((x0*x1)),PySRFunction(X=>-1.306073/(x0 - 1.0261252/x0) + 0.6039506/((x0*x1)))
11,14,0.7226291,(0.6377696 / tanh(x1 * x0)) + ((-0.6435825 / (x0 + -1.0124606)) + -0.8698143),0.016701175463340528,-0.8698143 + 0.6377696/tanh(x0*x1) - 0.6435825/(x0 - 1.0124606),PySRFunction(X=>-0.8698143 + 0.6377696/tanh(x0*x1) - 0.6435825/(x0 - 1.0124606))
12,15,0.7163666,((0.67828953 - x0) / (x0 * x1)) + ((-0.701426 / (x0 + -1.0170771)) + -0.40564108),0.00870404204457559,-0.40564108 - 0.701426/(x0 - 1.0170771) + (0.67828953 - x0)/((x0*x1)),PySRFunction(X=>-0.40564108 - 0.701426/(x0 - 1.0170771) + (0.67828953 - x0)/((x0*x1)))
13,16,0.6414677,(0.18268397 / (x1 + -2.5513046)) + ((-0.57895833 / (x0 + -1.0074497)) / tanh(x1 * x0)),0.1104332150532363,0.18268397/(x1 - 2.5513046) - 0.57895833/((x0 - 1.0074497)*tanh(x0*x1)),PySRFunction(X=>0.18268397/(x1 - 2.5513046) - 0.57895833/((x0 - 1.0074497)*tanh(x0*x1)))
14,17,0.6051313,(-0.00021027413 / square(x0 + -0.36265945)) + ((-0.5778979 / (x0 + -1.0071722)) / tanh(x1 * x0)),0.058313372769841776,-0.00021027413/(x0 - 0.36265945)**2 - 0.5778979/((x0 - 1.0071722)*tanh(x0*x1)),PySRFunction(X=>-0.00021027413/(x0 - 0.36265945)**2 - 0.5778979/((x0 - 1.0071722)*tanh(x0*x1)))
15,19,0.60425633,((-7.639839e-5 / x0) / square(x0 + -0.36287743)) + ((-0.5778979 / (x0 + -1.0071723)) / tanh(x1 * x0)),0.0007234819762963464,-0.5778979/((x0 - 1.0071723)*tanh(x0*x1)) - 7.639839e-5/(x0*((x0 - 0.36287743)**2)),PySRFunction(X=>-0.5778979/((x0 - 1.0071723)*tanh(x0*x1)) - 7.639839e-5/(x0*((x0 - 0.36287743)**2)))
16,20,0.5957862,(cube(-0.021777567 / x0) / square(x0 + -0.36330566)) + ((-0.5910147 / (x0 + -1.0086617)) / tanh(x0 * x1)),0.014116617449172527,(-1.03282817238134e-5/x0**3)/((x0 - 0.36330566)**2) - 0.5910147/((x0 - 1.0086617)*tanh(x0*x1)),PySRFunction(X=>(-1.03282817238134e-5/x0**3)/((x0 - 0.36330566)**2) - 0.5910147/((x0 - 1.0086617)*tanh(x0*x1)))
