,complexity,loss,equation,score,sympy_format,lambda_format
0,1,5.0334845,2.3889787,0.0,2.38897870000000,PySRFunction(X=>2.38897870000000)
1,3,2.9580593,x0 * 4.527299,0.26578953819871365,x0*4.527299,PySRFunction(X=>x0*4.527299)
2,4,1.8336442,cube(x0 * 1.950758),0.47822805858454887,7.42352524663492*x0**3,PySRFunction(X=>7.42352524663492*x0**3)
3,5,0.5261047,-0.5589491 / (x0 + -1.0058899),1.2485603894548694,-0.5589491/(x0 - 1.0058899),PySRFunction(X=>-0.5589491/(x0 - 1.0058899))
4,6,0.4529609,-0.9441763 / (square(x0) + -0.99580103),0.14969443406762958,-0.9441763/(x0**2 - 0.99580103),PySRFunction(X=>-0.9441763/(x0**2 - 0.99580103))
5,7,0.39110678,0.9576486 / (tanh(x1) - square(x0)),0.14682519096105748,0.9576486/(-x0**2 + tanh(x1)),PySRFunction(X=>0.9576486/(-x0**2 + tanh(x1)))
6,8,0.25480056,0.23512773 / (tanh(x0) - tanh(square(x0))),0.42849949583318037,0.23512773/(tanh(x0) - tanh(x0**2)),PySRFunction(X=>0.23512773/(tanh(x0) - tanh(x0**2)))
7,9,0.08636341,-0.43908757 / (((0.10746633 / x0) + x0) + -1.1063225),1.0819170307576416,-0.43908757/(x0 - 1.1063225 + 0.10746633/x0),PySRFunction(X=>-0.43908757/(x0 - 1.1063225 + 0.10746633/x0))
8,10,0.010543774,(-0.51361537 / (x0 + -1.0008227)) / tanh(x0 * x1),2.1030285472006045,-0.51361537/((x0 - 1.0008227)*tanh(x0*x1)),PySRFunction(X=>-0.51361537/((x0 - 1.0008227)*tanh(x0*x1)))
9,12,0.010142254,((-0.5248068 / (x0 + -1.001771)) / tanh(x0 * x1)) + -0.043489236,0.0194126410551879,-0.043489236 - 0.5248068/((x0 - 1.001771)*tanh(x0*x1)),PySRFunction(X=>-0.043489236 - 0.5248068/((x0 - 1.001771)*tanh(x0*x1)))
10,13,0.008714116,((-0.5175265 / (x0 + -1.0008373)) - 0.101058275) + (0.52858007 / (x1 * x0)),0.15176602191065552,-1*0.101058275 - 0.5175265/(x0 - 1.0008373) + 0.52858007/((x0*x1)),PySRFunction(X=>-1*0.101058275 - 0.5175265/(x0 - 1.0008373) + 0.52858007/((x0*x1)))
11,14,0.007975781,(-0.5050559 / (x0 + -0.99997616)) + ((-1.1085541 / x0) / (-1.106845 - square(x1))),0.0885346646080533,-0.5050559/(x0 - 0.99997616) - 1.1085541/(x0*(-x1**2 - 1.106845)),PySRFunction(X=>-0.5050559/(x0 - 0.99997616) - 1.1085541/(x0*(-x1**2 - 1.106845)))
12,15,0.0078205485,(-0.5010763 / (x0 + -0.99963504)) + ((-1.3927397 / tanh(x0)) / (-1.8592888 - square(x1))),0.01965488214802034,-1.3927397/((-x1**2 - 1.8592888)*tanh(x0)) - 0.5010763/(x0 - 0.99963504),PySRFunction(X=>-1.3927397/((-x1**2 - 1.8592888)*tanh(x0)) - 0.5010763/(x0 - 0.99963504))
13,17,0.007742893,((-0.5192993 / (x0 + -1.001174)) - 0.073942825) + ((0.2548351 / (x0 - 0.0573829)) / (x1 - x0)),0.004989651193282867,-1*0.073942825 - 0.5192993/(x0 - 1.001174) + 0.2548351/((-x0 + x1)*(x0 - 1*0.0573829)),PySRFunction(X=>-1*0.073942825 - 0.5192993/(x0 - 1.001174) + 0.2548351/((-x0 + x1)*(x0 - 1*0.0573829)))
14,18,0.007256525,((0.37478787 / x0) / (x1 + -0.35086143)) + (square(x0 + -0.3570131) + (-0.4577275 / (x0 + -0.99697924))),0.06487432626645462,(x0 - 0.3570131)**2 - 0.4577275/(x0 - 0.99697924) + 0.37478787/(x0*(x1 - 0.35086143)),PySRFunction(X=>(x0 - 0.3570131)**2 - 0.4577275/(x0 - 0.99697924) + 0.37478787/(x0*(x1 - 0.35086143)))
15,20,0.007043273,((-0.45305127 / (-0.99689496 + x0)) + ((0.3553419 / x0) / (-0.38769954 + x1))) + square((-0.40254036 + x0) * -1.1969439),0.014914043603064692,1.43267469974721*(x0 - 0.40254036)**2 - 0.45305127/(x0 - 0.99689496) + 0.3553419/(x0*(x1 - 0.38769954)),PySRFunction(X=>1.43267469974721*(x0 - 0.40254036)**2 - 0.45305127/(x0 - 0.99689496) + 0.3553419/(x0*(x1 - 0.38769954)))
