,complexity,loss,equation,score,sympy_format,lambda_format
0,1,11.206086,2.6744149,0.0,2.67441490000000,PySRFunction(X=>2.67441490000000)
1,3,9.359555,x0 * 5.0620284,0.09002963847474432,x0*5.0620284,PySRFunction(X=>x0*5.0620284)
2,4,8.629702,cube(x0 - -0.8049817),0.08118777283196495,(x0 - 1*(-0.8049817))**3,PySRFunction(X=>(x0 - 1*(-0.8049817))**3)
3,5,8.039796,cube(square(x0) + 0.9495259),0.07080626405765798,(x0**2 + 0.9495259)**3,PySRFunction(X=>(x0**2 + 0.9495259)**3)
4,6,7.967472,cube(tanh(cube(x0)) + 1.1198857),0.009036456708213297,(tanh(x0**3) + 1.1198857)**3,PySRFunction(X=>(tanh(x0**3) + 1.1198857)**3)
5,7,7.865525,square(square(x0 * 1.5795815)) - -1.3128151,0.012877967313578714,6.22541280459947*x0**4 - 1*(-1.3128151),PySRFunction(X=>6.22541280459947*x0**4 - 1*(-1.3128151))
6,8,7.7235613,square((x0 * 3.8524191) + -1.319131) - -0.9246803,0.018213719755968753,(x0*3.8524191 - 1.319131)**2 - 1*(-0.9246803),PySRFunction(X=>(x0*3.8524191 - 1.319131)**2 - 1*(-0.9246803))
7,9,6.9888244,x0 * ((0.0073205535 / (x0 + -0.7957109)) + 4.673725),0.0999632069742713,x0*(4.673725 + 0.0073205535/(x0 - 0.7957109)),PySRFunction(X=>x0*(4.673725 + 0.0073205535/(x0 - 0.7957109)))
8,10,6.3040442,(0.0053098416 / (x0 - 0.7957419)) + cube(x0 + 0.7683098),0.10312099503029341,(x0 + 0.7683098)**3 + 0.0053098416/(x0 - 1*0.7957419),PySRFunction(X=>(x0 + 0.7683098)**3 + 0.0053098416/(x0 - 1*0.7957419))
9,11,5.5865507,(0.0052632815 / (x0 - 0.7957572)) + cube(0.98864985 + cube(x0)),0.12082931553849899,(x0**3 + 0.98864985)**3 + 0.0052632815/(x0 - 1*0.7957572),PySRFunction(X=>(x0**3 + 0.98864985)**3 + 0.0052632815/(x0 - 1*0.7957572))
10,13,5.3884587,cube((cube(x0) + 0.97862566) + ((-0.0069512967 / x1) / (0.796001 - x0))),0.018051329929536803,(x0**3 + 0.97862566 - 0.0069512967/(x1*(0.796001 - x0)))**3,PySRFunction(X=>(x0**3 + 0.97862566 - 0.0069512967/(x1*(0.796001 - x0)))**3)
11,14,5.3779693,square((x0 + -0.35927176) * -3.8214834) + ((0.0051594316 / (x0 - 0.7957564)) - -0.87200344),0.0019485391661654165,14.6037353764756*(x0 - 0.35927176)**2 - 1*(-0.87200344) + 0.0051594316/(x0 - 1*0.7957564),PySRFunction(X=>14.6037353764756*(x0 - 0.35927176)**2 - 1*(-0.87200344) + 0.0051594316/(x0 - 1*0.7957564))
12,15,5.325522,(cube(x0) * 6.903956) + ((0.0051934198 / (x0 - 0.7957554)) - cube(x0 + -1.303988)),0.009800114428523828,x0**3*6.903956 - (x0 - 1.303988)**3 + 0.0051934198/(x0 - 1*0.7957554),PySRFunction(X=>x0**3*6.903956 - (x0 - 1.303988)**3 + 0.0051934198/(x0 - 1*0.7957554))
13,16,5.223985,((2.1233025 / x1) + (0.005390534 / (x0 - 0.79575574))) + square((x0 * 4.0500717) + -1.4907398),0.019250214352988737,(x0*4.0500717 - 1.4907398)**2 + 0.005390534/(x0 - 1*0.79575574) + 2.1233025/x1,PySRFunction(X=>(x0*4.0500717 - 1.4907398)**2 + 0.005390534/(x0 - 1*0.79575574) + 2.1233025/x1)
14,17,5.1390095,((0.0052649844 / (x0 - 0.79575515)) + (cube(x0) * 6.761104)) - (cube(x0 + -1.7762) / x1),0.01640016399000466,x0**3*6.761104 + 0.0052649844/(x0 - 1*0.79575515) - (x0 - 1.7762)**3/x1,PySRFunction(X=>x0**3*6.761104 + 0.0052649844/(x0 - 1*0.79575515) - (x0 - 1.7762)**3/x1)
15,18,4.9739404,((6.683841 * cube(x0)) + (0.0052649644 / (x0 - 0.79575574))) - (-1.0091594 / ((x0 * x1) + 0.22925575)),0.032647993615639755,6.683841*x0**3 - (-1)*1.0091594/(x0*x1 + 0.22925575) + 0.0052649644/(x0 - 1*0.79575574),PySRFunction(X=>6.683841*x0**3 - (-1)*1.0091594/(x0*x1 + 0.22925575) + 0.0052649644/(x0 - 1*0.79575574))
16,19,4.909284,((0.0052649966 / (x0 - 0.7957568)) + (cube(x0) * 6.533565)) - (tanh(-2.7533937 / x1) / (x0 + 0.18971677)),0.013084256675720926,x0**3*6.533565 + 0.0052649966/(x0 - 1*0.7957568) - tanh(-2.7533937/x1)/(x0 + 0.18971677),PySRFunction(X=>x0**3*6.533565 + 0.0052649966/(x0 - 1*0.7957568) - tanh(-2.7533937/x1)/(x0 + 0.18971677))
17,20,4.859128,((cube(x0) * 6.8230124) + (0.0052647986 / (x0 - 0.79575396))) - (tanh(-3.3125494 / x1) / cube(x0 + 0.5629157)),0.010269108380000261,x0**3*6.8230124 + 0.0052647986/(x0 - 1*0.79575396) - tanh(-3.3125494/x1)/((x0 + 0.5629157)**3),PySRFunction(X=>x0**3*6.8230124 + 0.0052647986/(x0 - 1*0.79575396) - tanh(-3.3125494/x1)/((x0 + 0.5629157)**3))
