,complexity,loss,equation,score,sympy_format,lambda_format
0,1,2.0815253,2.0415444,0.0,2.04154440000000,PySRFunction(X=>2.04154440000000)
1,3,0.5500433,0.25134534 / x0,0.6654296094284401,0.25134534/x0,PySRFunction(X=>0.25134534/x0)
2,4,0.5187719,0.25110006 / tanh(x0),0.05853271487914379,0.25110006/tanh(x0),PySRFunction(X=>0.25110006/tanh(x0))
3,5,0.26699626,(0.19721821 / x0) + 0.73983806,0.6642296367097641,0.73983806 + 0.19721821/x0,PySRFunction(X=>0.73983806 + 0.19721821/x0)
4,6,0.17340472,0.59229666 / tanh(x0 * x1),0.4316063665356464,0.59229666/tanh(x0*x1),PySRFunction(X=>0.59229666/tanh(x0*x1))
5,7,0.007968014,(-1.8441638 / (x1 - 2.8840759)) + 1.1441948,3.0801930069669945,1.1441948 - 1.8441638/(x1 - 1*2.8840759),PySRFunction(X=>1.1441948 - 1.8441638/(x1 - 1*2.8840759))
6,8,0.0071155936,x0 + (0.5631606 / tanh(x1 * x0)),0.11314661987252624,x0 + 0.5631606/tanh(x0*x1),PySRFunction(X=>x0 + 0.5631606/tanh(x0*x1))
7,9,0.002748965,(-2.1100445 / (x1 - 2.9031053)) + (x0 + 0.72767365),0.9510641802367925,x0 + 0.72767365 - 2.1100445/(x1 - 1*2.9031053),PySRFunction(X=>x0 + 0.72767365 - 2.1100445/(x1 - 1*2.9031053))
8,10,3.5782716e-05,((x0 + -0.9100679) / tanh(x1 - 2.6446729)) + 1.5191597,4.341514772653327,(x0 - 0.9100679)/tanh(x1 - 1*2.6446729) + 1.5191597,PySRFunction(X=>(x0 - 0.9100679)/tanh(x1 - 1*2.6446729) + 1.5191597)
9,11,7.961978e-08,((0.50010043 / x1) / x0) + (0.50007623 / (1.0003881 - x0)),6.107957708066984,0.50007623/(1.0003881 - x0) + 0.50010043/(x0*x1),PySRFunction(X=>0.50007623/(1.0003881 - x0) + 0.50010043/(x0*x1))
10,13,8.7899893e-10,(0.48591968 / (0.9925305 - x0)) + (((0.49994844 / x1) / x0) + 0.012017062),2.2531170765167947,0.012017062 + 0.48591968/(0.9925305 - x0) + 0.49994844/(x0*x1),PySRFunction(X=>0.012017062 + 0.48591968/(0.9925305 - x0) + 0.49994844/(x0*x1))
11,17,0.0,(((0.499967 / x1) + 0.008524238) / x0) + ((x1 * 0.0009403785) + ((x0 * 1.4350768) + 0.28296593)),inf,x0*1.4350768 + x1*0.0009403785 + 0.28296593 + (0.008524238 + 0.499967/x1)/x0,PySRFunction(X=>x0*1.4350768 + x1*0.0009403785 + 0.28296593 + (0.008524238 + 0.499967/x1)/x0)
