,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8669927,1.3003968,0.0,1.30039680000000,PySRFunction(X=>1.30039680000000)
1,3,1.2658516,x0 * 2.6447508,0.19429192863694947,x0*2.6447508,PySRFunction(X=>x0*2.6447508)
2,4,0.98451436,cube(x0 * 1.6348912),0.2513518921869999,4.36985039242136*x0**3,PySRFunction(X=>4.36985039242136*x0**3)
3,5,0.5506052,-0.24628739 / (x0 + -0.95590365),0.5811304471505564,-0.24628739/(x0 - 0.95590365),PySRFunction(X=>-0.24628739/(x0 - 0.95590365))
4,6,0.48712307,-0.482475 / (cube(x0) + -0.8371577),0.12250123527759854,-0.482475/(x0**3 - 0.8371577),PySRFunction(X=>-0.482475/(x0**3 - 0.8371577))
5,7,0.40858278,square(square((0.47969654 - x0) / 0.2934818)),0.1758222640395345,134.79547200311*(0.47969654 - x0)**4,PySRFunction(X=>134.79547200311*(0.47969654 - x0)**4)
6,8,0.39779648,0.022886032 / square((x0 + -0.9785384) * x0),0.02675401987637181,0.022886032/((x0**2*(x0 - 0.9785384)**2)),PySRFunction(X=>0.022886032/((x0**2*(x0 - 0.9785384)**2)))
7,9,0.27562135,(-0.12422787 / (x0 + -0.9289496)) - (x1 * -0.0137345465),0.36691251423000953,-(-0.0137345465)*x1 - 0.12422787/(x0 - 0.9289496),PySRFunction(X=>-(-0.0137345465)*x1 - 0.12422787/(x0 - 0.9289496))
8,10,0.252929,(-0.15909372 / (x0 + -0.9359153)) + (cube(x1) * 1.6187985e-6),0.085919186551231,x1**3*1.6187985e-6 - 0.15909372/(x0 - 0.9359153),PySRFunction(X=>x1**3*1.6187985e-6 - 0.15909372/(x0 - 0.9359153))
9,11,0.25113147,(-0.15773547 / tanh(x0 + -0.9356142)) + (cube(x1) * 1.5845774e-6),0.007132230066876348,x1**3*1.5845774e-6 - 0.15773547/tanh(x0 - 0.9356142),PySRFunction(X=>x1**3*1.5845774e-6 - 0.15773547/tanh(x0 - 0.9356142))
10,12,0.12784323,(-0.10289915 / (x0 + -0.9251718)) + square(1.1344962 - (5.5024705 / x1)),0.6751718392087006,(1.1344962 - 5.5024705/x1)**2 - 0.10289915/(x0 - 0.9251718),PySRFunction(X=>(1.1344962 - 5.5024705/x1)**2 - 0.10289915/(x0 - 0.9251718))
11,13,0.097960904,(-0.13376378 + ((x1 * -0.0008263953) / (x0 + -0.14795662))) / (x0 + -0.9333749),0.26623628735841437,(x1*(-0.0008263953)/(x0 - 0.14795662) - 0.13376378)/(x0 - 0.9333749),PySRFunction(X=>(x1*(-0.0008263953)/(x0 - 0.14795662) - 0.13376378)/(x0 - 0.9333749))
12,14,0.07903295,square((0.24030398 / (x0 + -1.0146726)) + ((x1 * -0.00081305363) / (x0 + -0.14795662))),0.2147036061804765,(x1*(-0.00081305363)/(x0 - 0.14795662) + 0.24030398/(x0 - 1.0146726))**2,PySRFunction(X=>(x1*(-0.00081305363)/(x0 - 0.14795662) + 0.24030398/(x0 - 1.0146726))**2)
13,15,0.064408876,(x1 * 0.013541758) + ((-0.13349952 / (x0 + -0.93038446)) - (0.7160117 / (x1 + -2.9210792))),0.20461340441721962,x1*0.013541758 - 0.7160117/(x1 - 2.9210792) - 0.13349952/(x0 - 0.93038446),PySRFunction(X=>x1*0.013541758 - 0.7160117/(x1 - 2.9210792) - 0.13349952/(x0 - 0.93038446))
14,16,0.044156007,(-0.16974302 / (x0 + -0.9374751)) + ((cube(x1) * 1.5877004e-6) - (-0.7179874 / (2.926841 - x1))),0.3775224730151771,x1**3*1.5877004e-6 - 0.16974302/(x0 - 0.9374751) - (-1)*0.7179874/(2.926841 - x1),PySRFunction(X=>x1**3*1.5877004e-6 - 0.16974302/(x0 - 0.9374751) - (-1)*0.7179874/(2.926841 - x1))
15,18,0.031838037,((-0.09854078 / (x0 + -0.9239785)) + ((x1 * 0.01834923) + 1.0473804)) - ((x0 + -0.1534437) / square(x0)),0.1635336348096881,x1*0.01834923 + 1.0473804 - 0.09854078/(x0 - 0.9239785) - (x0 - 0.1534437)/(x0**2),PySRFunction(X=>x1*0.01834923 + 1.0473804 - 0.09854078/(x0 - 0.9239785) - (x0 - 0.1534437)/(x0**2))
16,19,0.020750986,((x1 * 0.013862459) + (-0.12578696 / (x0 + -0.92960364))) - ((-0.08695698 / (0.35884345 - x0)) / (2.698934 - x1)),0.4280679434455201,x1*0.013862459 - 0.12578696/(x0 - 0.92960364) - (-1)*0.08695698/((0.35884345 - x0)*(2.698934 - x1)),PySRFunction(X=>x1*0.013862459 - 0.12578696/(x0 - 0.92960364) - (-1)*0.08695698/((0.35884345 - x0)*(2.698934 - x1)))
17,20,0.0059192805,((-0.1579264 / (x0 + -0.93587387)) - (cube(x1) * -1.6320031e-6)) - ((-0.08700803 / (0.3604324 - x0)) / (2.6954138 - x1)),1.254378859272536,-(-1.6320031e-6)*x1**3 - 0.1579264/(x0 - 0.93587387) - (-1)*0.08700803/((0.3604324 - x0)*(2.6954138 - x1)),PySRFunction(X=>-(-1.6320031e-6)*x1**3 - 0.1579264/(x0 - 0.93587387) - (-1)*0.08700803/((0.3604324 - x0)*(2.6954138 - x1)))
