,complexity,loss,equation,score,sympy_format,lambda_format
0,1,3.5415359,2.0519302,0.0,2.05193020000000,PySRFunction(X=>2.05193020000000)
1,3,2.733789,x0 * 4.3790956,0.12943597204136628,x0*4.3790956,PySRFunction(X=>x0*4.3790956)
2,4,2.1908257,cube(x0 + 0.75451964),0.22141005429186078,(x0 + 0.75451964)**3,PySRFunction(X=>(x0 + 0.75451964)**3)
3,5,1.2017336,-0.7291291 / (x0 + -1.0296546),0.6005133237995084,-0.7291291/(x0 - 1.0296546),PySRFunction(X=>-0.7291291/(x0 - 1.0296546))
4,6,0.9391803,-1.211112 / (cube(x0) + -0.96400523),0.24651298636009675,-1.211112/(x0**3 - 0.96400523),PySRFunction(X=>-1.211112/(x0**3 - 0.96400523))
5,7,0.9147838,-1.2397459 / (square(square(x0)) + -0.9100458),0.026319720352703902,-1.2397459/(x0**4 - 0.9100458),PySRFunction(X=>-1.2397459/(x0**4 - 0.9100458))
6,8,0.79176307,-0.36991006 / (square(x0 + -0.42282775) + -0.30539435),0.1444255601844915,-0.36991006/((x0 - 0.42282775)**2 - 0.30539435),PySRFunction(X=>-0.36991006/((x0 - 0.42282775)**2 - 0.30539435))
7,9,0.7191934,(-0.3759948 / (x0 + -0.98151815)) + (2.6729064 / x1),0.09613188676640426,-0.3759948/(x0 - 0.98151815) + 2.6729064/x1,PySRFunction(X=>-0.3759948/(x0 - 0.98151815) + 2.6729064/x1)
8,10,0.24492072,-0.5111648 / ((x0 + -0.99819624) * tanh(x0 * x1)),1.077195739911265,-0.5111648*1/((x0 - 0.99819624)*tanh(x0*x1)),PySRFunction(X=>-0.5111648*1/((x0 - 0.99819624)*tanh(x0*x1)))
9,11,0.1918589,((0.50607383 / x1) / x0) + (-0.47673097 / (x0 + -0.9933454)),0.24417436031472317,-0.47673097/(x0 - 0.9933454) + 0.50607383/(x0*x1),PySRFunction(X=>-0.47673097/(x0 - 0.9933454) + 0.50607383/(x0*x1))
10,12,0.1878929,(-0.4476929 / tanh(x0 + -0.9893311)) + ((0.48969787 / x1) / x0),0.020888086377037873,-0.4476929/tanh(x0 - 0.9893311) + 0.48969787/(x0*x1),PySRFunction(X=>-0.4476929/tanh(x0 - 0.9893311) + 0.48969787/(x0*x1))
11,13,0.17784443,((-0.2581807 / (x0 + -0.968684)) + ((0.528674 / x1) / x0)) + x0,0.05496294027191521,x0 - 0.2581807/(x0 - 0.968684) + 0.528674/(x0*x1),PySRFunction(X=>x0 - 0.2581807/(x0 - 0.968684) + 0.528674/(x0*x1))
12,14,0.16944696,(-0.4115626 / (square(x0) + -0.9264263)) + (x0 + ((0.5018525 / x1) / x0)),0.048369221880447684,x0 - 0.4115626/(x0**2 - 0.9264263) + 0.5018525/(x0*x1),PySRFunction(X=>x0 - 0.4115626/(x0**2 - 0.9264263) + 0.5018525/(x0*x1))
13,15,0.1661685,(((0.48735762 / x1) + 0.021875259) / x0) + (x0 + (-0.24212365 / (x0 + -0.9663174))),0.019537623724515642,x0 - 0.24212365/(x0 - 0.9663174) + (0.021875259 + 0.48735762/x1)/x0,PySRFunction(X=>x0 - 0.24212365/(x0 - 0.9663174) + (0.021875259 + 0.48735762/x1)/x0)
14,16,0.15739183,((0.51941216 / x1) / x0) + (square(x0 + 0.4471286) + (-0.115474455 / (x0 + -0.95055956))),0.054263905108121374,(x0 + 0.4471286)**2 - 0.115474455/(x0 - 0.95055956) + 0.51941216/(x0*x1),PySRFunction(X=>(x0 + 0.4471286)**2 - 0.115474455/(x0 - 0.95055956) + 0.51941216/(x0*x1))
15,17,0.07148938,(-0.531618 / (x0 + -1.013749)) + (((0.49662104 / x0) / x1) + (-0.00115212 / (x0 + -0.93463904))),0.789189521464556,-0.00115212/(x0 - 0.93463904) - 0.531618/(x0 - 1.013749) + 0.49662104/(x0*x1),PySRFunction(X=>-0.00115212/(x0 - 0.93463904) - 0.531618/(x0 - 1.013749) + 0.49662104/(x0*x1))
16,18,0.07002789,cube(-0.001152813 / (x0 + -0.9350767)) + ((-0.5332936 / (x0 + -1.0118783)) + (0.4959394 / (x0 * x1))),0.020655315930338824,-1.53206289950223e-9/(x0 - 0.9350767)**3 - 0.5332936/(x0 - 1.0118783) + 0.4959394/((x0*x1)),PySRFunction(X=>-1.53206289950223e-9/(x0 - 0.9350767)**3 - 0.5332936/(x0 - 1.0118783) + 0.4959394/((x0*x1)))
