,complexity,loss,equation,score,sympy_format,lambda_format
0,1,7.545445,2.3628702,0.0,2.36287020000000,PySRFunction(X=>2.36287020000000)
1,3,7.3243585,x0 + 1.8517115,0.014869247830467648,x0 + 1.8517115,PySRFunction(X=>x0 + 1.8517115)
2,4,6.984393,cube(x0) + 2.1030595,0.04752748584446688,x0**3 + 2.1030595,PySRFunction(X=>x0**3 + 2.1030595)
3,5,6.2022505,square(cube(x0) + 1.2616068),0.11876587837247814,(x0**3 + 1.2616068)**2,PySRFunction(X=>(x0**3 + 1.2616068)**2)
4,6,4.9155836,square((x0 * -4.7334466) + 2.0660636),0.23250172495359778,(2.0660636 + x0*(-4.7334466))**2,PySRFunction(X=>(2.0660636 + x0*(-4.7334466))**2)
5,7,4.447011,square(cube(x0 + -1.6860371) + 2.5909138),0.10017830000251514,((x0 - 1.6860371)**3 + 2.5909138)**2,PySRFunction(X=>((x0 - 1.6860371)**3 + 2.5909138)**2)
6,8,3.954967,-0.50258166 / (square(x0 - 0.47005782) - 0.34729668),0.11725992778690686,-0.50258166/((x0 - 1*0.47005782)**2 - 1*0.34729668),PySRFunction(X=>-0.50258166/((x0 - 1*0.47005782)**2 - 1*0.34729668))
7,9,3.6892111,cube(square(x0) + 0.73303896) / (x0 + 0.11636842),0.06955961615899378,(x0**2 + 0.73303896)**3/(x0 + 0.11636842),PySRFunction(X=>(x0**2 + 0.73303896)**3/(x0 + 0.11636842))
8,10,3.3739734,cube(cube(x0) + 0.7381894) / tanh(x0 + 0.11608116),0.08932154088202049,(x0**3 + 0.7381894)**3/tanh(x0 + 0.11608116),PySRFunction(X=>(x0**3 + 0.7381894)**3/tanh(x0 + 0.11608116))
9,11,3.2921069,(cube(cube(x0)) + 0.14792931) / ((x0 / x1) + 0.07681043),0.02456334532667753,(x0**9 + 0.14792931)/(x0/x1 + 0.07681043),PySRFunction(X=>(x0**9 + 0.14792931)/(x0/x1 + 0.07681043))
10,12,2.9346921,((cube(x0) * x1) - -0.8272343) / (x0 + (x1 / 9.014014)),0.11492521347482235,(x0**3*x1 - 1*(-0.8272343))/(x0 + x1/9.014014),PySRFunction(X=>(x0**3*x1 - 1*(-0.8272343))/(x0 + x1/9.014014))
11,13,2.8140414,((0.69612896 / x1) + square(square(x0))) / ((x0 / x1) + 0.10132935),0.04198087073627918,(x0**4 + 0.69612896/x1)/(x0/x1 + 0.10132935),PySRFunction(X=>(x0**4 + 0.69612896/x1)/(x0/x1 + 0.10132935))
12,14,2.7519703,(square(square(x0)) + (0.7184807 / x1)) / ((tanh(x0) / x1) + 0.10290683),0.022304542875793924,(x0**4 + 0.7184807/x1)/(0.10290683 + tanh(x0)/x1),PySRFunction(X=>(x0**4 + 0.7184807/x1)/(0.10290683 + tanh(x0)/x1))
13,15,2.6305752,((0.90936327 / x1) + square(cube(x0))) / (((x0 - -0.06429989) / x1) + 0.06798415),0.045114598360629386,(x0**6 + 0.90936327/x1)/(0.06798415 + (x0 - 1*(-0.06429989))/x1),PySRFunction(X=>(x0**6 + 0.90936327/x1)/(0.06798415 + (x0 - 1*(-0.06429989))/x1))
14,16,2.6042118,(((x0 - -0.4873814) / x1) + square(cube(x0))) / tanh((x0 / x1) + 0.08602891),0.010072472056842767,(x0**6 + (x0 - 1*(-0.4873814))/x1)/tanh(x0/x1 + 0.08602891),PySRFunction(X=>(x0**6 + (x0 - 1*(-0.4873814))/x1)/tanh(x0/x1 + 0.08602891))
15,17,2.4980454,(((x0 - -0.61620796) / x1) + square(cube(x0))) / (((x0 - -0.029510066) / x1) + 0.0716779),0.041621471366363905,(x0**6 + (x0 - 1*(-0.61620796))/x1)/(0.0716779 + (x0 - 1*(-0.029510066))/x1),PySRFunction(X=>(x0**6 + (x0 - 1*(-0.61620796))/x1)/(0.0716779 + (x0 - 1*(-0.029510066))/x1))
16,19,2.37627,(((x1 * 0.19493623) + 2.7288585) * cube(cube(x0))) + (((0.56871057 / x1) / (x0 + 0.12020619)) - -1.1036009),0.024988277334975193,x0**9*(x1*0.19493623 + 2.7288585) - 1*(-1.1036009) + 0.56871057/(x1*(x0 + 0.12020619)),PySRFunction(X=>x0**9*(x1*0.19493623 + 2.7288585) - 1*(-1.1036009) + 0.56871057/(x1*(x0 + 0.12020619)))
17,20,2.3641772,(((x1 * 0.19984655) + 2.361872) * cube(cube(x0))) + (((0.7956537 / x1) + x0) / tanh(x0 + 0.12347115)),0.005101976974432977,x0**9*(x1*0.19984655 + 2.361872) + (x0 + 0.7956537/x1)/tanh(x0 + 0.12347115),PySRFunction(X=>x0**9*(x1*0.19984655 + 2.361872) + (x0 + 0.7956537/x1)/tanh(x0 + 0.12347115))
