,complexity,loss,equation,score,sympy_format,lambda_format
0,1,12.788316,2.936671,0.0,2.93667100000000,PySRFunction(X=>2.93667100000000)
1,3,4.6928988,x0 * 6.674526,0.5012407345051519,x0*6.674526,PySRFunction(X=>x0*6.674526)
2,4,0.22997467,cube(x0 * 2.0967817),3.015836579106763,9.21848710963241*x0**3,PySRFunction(X=>9.21848710963241*x0**3)
3,5,0.03664907,-0.75181836 / (x0 + -1.1014786),1.8365811195834376,-0.75181836/(x0 - 1.1014786),PySRFunction(X=>-0.75181836/(x0 - 1.1014786))
4,6,0.029887345,-0.44575474 / (tanh(x0) + -0.81692445),0.20395290618377454,-0.44575474/(tanh(x0) - 0.81692445),PySRFunction(X=>-0.44575474/(tanh(x0) - 0.81692445))
5,7,0.02780205,x0 + (-0.4509525 / (x0 + -1.0766587)),0.07232538767134762,x0 - 0.4509525/(x0 - 1.0766587),PySRFunction(X=>x0 - 0.4509525/(x0 - 1.0766587))
6,8,0.022957768,-0.7315597 / ((tanh(x1) * -1.0994624) + x0),0.19145340480268502,-0.7315597/(x0 + tanh(x1)*(-1.0994624)),PySRFunction(X=>-0.7315597/(x0 + tanh(x1)*(-1.0994624)))
7,9,0.0019362643,((x1 * 0.0074430536) + -0.93179256) / (x0 + -1.11199),2.472895856050755,(x1*0.0074430536 - 0.93179256)/(x0 - 1.11199),PySRFunction(X=>(x1*0.0074430536 - 0.93179256)/(x0 - 1.11199))
8,10,0.0014844185,(tanh(x1 * 0.008150081) + -0.94184434) / (x0 + -1.1123064),0.2657373850569751,(tanh(x1*0.008150081) - 0.94184434)/(x0 - 1.1123064),PySRFunction(X=>(tanh(x1*0.008150081) - 0.94184434)/(x0 - 1.1123064))
9,11,0.00013845011,(square(square(x0)) * ((x1 * -0.4434878) + 12.72284)) + 0.8439145,2.3722683479294644,x0**4*(12.72284 + x1*(-0.4434878)) + 0.8439145,PySRFunction(X=>x0**4*(12.72284 + x1*(-0.4434878)) + 0.8439145)
10,13,0.00013844979,(square(square(x0)) * ((x1 + 12.722867) + (x1 * -1.4434904))) + 0.8439145,1.1556522771955225e-06,x0**4*(x1*(-1.4434904) + x1 + 12.722867) + 0.8439145,PySRFunction(X=>x0**4*(x1*(-1.4434904) + x1 + 12.722867) + 0.8439145)
11,14,0.000115239,(square(square(x0)) * 9.040598) + cube((0.57512957 / x1) - (x0 - 1.1714413)),0.18349950018659678,x0**4*9.040598 + (-(x0 - 1*1.1714413) + 0.57512957/x1)**3,PySRFunction(X=>x0**4*9.040598 + (-(x0 - 1*1.1714413) + 0.57512957/x1)**3)
12,15,2.0025062e-05,(((1.3258226 / x1) + (0.3006968 / x0)) - 0.33906016) + (square(square(x0)) * 8.96904),1.7500236435566903,x0**4*8.96904 - 1*0.33906016 + 1.3258226/x1 + 0.3006968/x0,PySRFunction(X=>x0**4*8.96904 - 1*0.33906016 + 1.3258226/x1 + 0.3006968/x0)
13,16,1.4241903e-05,(square(square(x0)) * 9.010627) + ((2.193227 / square(x1)) + ((0.28663445 / x0) + -0.26034418)),0.3407960543839025,x0**4*9.010627 - 0.26034418 + 2.193227/(x1**2) + 0.28663445/x0,PySRFunction(X=>x0**4*9.010627 - 0.26034418 + 2.193227/(x1**2) + 0.28663445/x0)
14,17,2.6173439e-07,((1.304236 / x1) + ((0.23584789 / x0) - (x0 * 0.4125269))) + (square(square(x0)) * 9.104169),3.9966136027636776,x0**4*9.104169 - 0.4125269*x0 + 1.304236/x1 + 0.23584789/x0,PySRFunction(X=>x0**4*9.104169 - 0.4125269*x0 + 1.304236/x1 + 0.23584789/x0)
15,18,1.5495681e-08,(square(square(x0)) * 9.035681) + (((1.3084399 / x1) + (0.23854114 / x0)) - (tanh(x0) * 0.45369443)),2.82676887097889,x0**4*9.035681 - 0.45369443*tanh(x0) + 1.3084399/x1 + 0.23854114/x0,PySRFunction(X=>x0**4*9.035681 - 0.45369443*tanh(x0) + 1.3084399/x1 + 0.23854114/x0)
16,19,8.526513e-15,(((0.24255002 / x0) + (1.3065691 / x1)) - ((x0 * 0.37033683) - -0.034893367)) + (square(square(x0)) * 9.090481),14.412891412471321,x0**4*9.090481 - (x0*0.37033683 - 1*(-0.034893367)) + 1.3065691/x1 + 0.24255002/x0,PySRFunction(X=>x0**4*9.090481 - (x0*0.37033683 - 1*(-0.034893367)) + 1.3065691/x1 + 0.24255002/x0)
