,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.8501076,1.8030361,0.0,1.80303610000000,PySRFunction(X=>1.80303610000000)
1,3,1.5309618,x0 + 1.8030396,0.0946738171045939,x0 + 1.8030396,PySRFunction(X=>x0 + 1.8030396)
2,4,1.3179936,square(x0) + 0.7676795,0.14978558512551404,x0**2 + 0.7676795,PySRFunction(X=>x0**2 + 0.7676795)
3,5,0.8219757,-3.766306 / (x0 + -2.8045056),0.4721550266330594,-3.766306/(x0 - 2.8045056),PySRFunction(X=>-3.766306/(x0 - 2.8045056))
4,6,0.5532918,1.510068 / tanh(x1 - x0),0.3958253029510639,1.510068/tanh(-x0 + x1),PySRFunction(X=>1.510068/tanh(-x0 + x1))
5,7,0.4919824,(0.80412143 / (x0 + -1.8175421)) - -1.895963,0.11744258612961604,-1*(-1.895963) + 0.80412143/(x0 - 1.8175421),PySRFunction(X=>-1*(-1.895963) + 0.80412143/(x0 - 1.8175421))
6,8,0.48412418,(0.9776953 / tanh(x0 + -1.6771636)) - -2.5491712,0.016101499438690083,-1*(-2.5491712) + 0.9776953/tanh(x0 - 1.6771636),PySRFunction(X=>-1*(-2.5491712) + 0.9776953/tanh(x0 - 1.6771636))
7,9,0.43493295,((0.089578375 / x0) / (x0 + -2.0477922)) + 1.2387968,0.10714956277887051,1.2387968 + 0.089578375/(x0*(x0 - 2.0477922)),PySRFunction(X=>1.2387968 + 0.089578375/(x0*(x0 - 2.0477922)))
8,10,0.37649673,0.98578805 / tanh((2.1956336 - x0) + (0.11183592 / x0)),0.14428251933391084,0.98578805/tanh(-x0 + 2.1956336 + 0.11183592/x0),PySRFunction(X=>0.98578805/tanh(-x0 + 2.1956336 + 0.11183592/x0))
9,11,0.19128636,(0.10205612 / ((2.0233305 - x0) + (0.123552 / x0))) - -1.0419545,0.6771377896596328,-1*(-1.0419545) + 0.10205612/(-x0 + 2.0233305 + 0.123552/x0),PySRFunction(X=>-1*(-1.0419545) + 0.10205612/(-x0 + 2.0233305 + 0.123552/x0))
10,12,0.15458629,1.1984878 / ((-0.00088019506 / (x0 - -0.062054258)) + tanh(2.2935667 - x0)),0.21301912052837585,1.1984878/(tanh(2.2935667 - x0) - 0.00088019506/(x0 - 1*(-0.062054258))),PySRFunction(X=>1.1984878/(tanh(2.2935667 - x0) - 0.00088019506/(x0 - 1*(-0.062054258))))
11,13,0.04705242,((1.3522055 / (x1 - x0)) + 0.9722987) + (-0.00014413154 / (x0 - -0.06057271)),1.1894901524025903,0.9722987 - 0.00014413154/(x0 - 1*(-0.06057271)) + 1.3522055/(-x0 + x1),PySRFunction(X=>0.9722987 - 0.00014413154/(x0 - 1*(-0.06057271)) + 1.3522055/(-x0 + x1))
12,14,0.047043797,((1.3522055 / (x1 - x0)) + 0.9722987) + (-0.00014418438 / tanh(x0 - -0.060572688)),0.00018328048244779072,0.9722987 - 0.00014418438/tanh(x0 - 1*(-0.060572688)) + 1.3522055/(-x0 + x1),PySRFunction(X=>0.9722987 - 0.00014418438/tanh(x0 - 1*(-0.060572688)) + 1.3522055/(-x0 + x1))
13,15,0.020498095,((-0.00091905304 / (x0 - -0.060274065)) + 0.7297047) + (3.1604989 / (0.38899237 - (x0 - x1))),0.8307470638730917,0.7297047 - 0.00091905304/(x0 - 1*(-0.060274065)) + 3.1604989/(0.38899237 - (x0 - x1)),PySRFunction(X=>0.7297047 - 0.00091905304/(x0 - 1*(-0.060274065)) + 3.1604989/(0.38899237 - (x0 - x1)))
14,17,0.012803192,(3.2509813 / (0.3981506 - (x0 - x1))) + (((x1 * 8.645318e-5) / (-0.058763288 - x0)) + 0.6584409),0.23531872008016724,x1*8.645318e-5/(-x0 - 0.058763288) + 0.6584409 + 3.2509813/(0.3981506 - (x0 - x1)),PySRFunction(X=>x1*8.645318e-5/(-x0 - 0.058763288) + 0.6584409 + 3.2509813/(0.3981506 - (x0 - x1)))
15,20,0.0077113523,(tanh(2.3760831 / x1) + 0.5581023) + (((x1 * 9.634899e-5) / (-0.058635805 - x0)) + (1.2178719 / (x1 - x0))),0.16900031568380727,x1*9.634899e-5/(-x0 - 0.058635805) + tanh(2.3760831/x1) + 0.5581023 + 1.2178719/(-x0 + x1),PySRFunction(X=>x1*9.634899e-5/(-x0 - 0.058635805) + tanh(2.3760831/x1) + 0.5581023 + 1.2178719/(-x0 + x1))
