,complexity,loss,equation,score,sympy_format,lambda_format
0,1,36.26195,4.2785597,0.0,4.27855970000000,PySRFunction(X=>4.27855970000000)
1,3,17.99367,14.733142 / x1,0.35037447638424724,14.733142/x1,PySRFunction(X=>14.733142/x1)
2,4,10.696706,cube(2.7393105 / x1),0.5200841857753871,20.5552984369445/x1**3,PySRFunction(X=>20.5552984369445/x1**3)
3,5,5.71852,0.66897005 / (x0 + -1.3086679),0.6262258129512177,0.66897005/(x0 - 1.3086679),PySRFunction(X=>0.66897005/(x0 - 1.3086679))
4,6,2.166749,0.43052745 / square(x0 + -1.1957443),0.9704821431421707,0.43052745/((x0 - 1.1957443)**2),PySRFunction(X=>0.43052745/((x0 - 1.1957443)**2))
5,7,1.5192268,square(2.5832367 / (cube(x0) + -1.8480774)),0.3550263662875467,6.67311184822689/(x0**3 - 1.8480774)**2,PySRFunction(X=>6.67311184822689/(x0**3 - 1.8480774)**2)
6,8,0.38827127,cube((2.6668782 / x1) - (x1 * -0.064917706)),1.3642525553894242,(-(-0.064917706)*x1 + 2.6668782/x1)**3,PySRFunction(X=>(-(-0.064917706)*x1 + 2.6668782/x1)**3)
7,9,0.28449097,(-1.4449741 / ((-1.4158812 + x0) * x1)) + 1.3349501,0.3110027316485533,1.3349501 - 1.4449741*1/(x1*(x0 - 1.4158812)),PySRFunction(X=>1.3349501 - 1.4449741*1/(x1*(x0 - 1.4158812)))
8,10,0.18433437,(cube(x1) * 0.0003079954) + (3.3938563 / (x1 - 0.8344928)),0.43395017645990036,x1**3*0.0003079954 + 3.3938563/(x1 - 1*0.8344928),PySRFunction(X=>x1**3*0.0003079954 + 3.3938563/(x1 - 1*0.8344928))
9,11,0.1183213,(square(square(x1)) * 9.895673e-6) + (-3.4760969 / (0.83046025 - x1)),0.4433475312125441,x1**4*9.895673e-6 - 3.4760969/(0.83046025 - x1),PySRFunction(X=>x1**4*9.895673e-6 - 3.4760969/(0.83046025 - x1))
10,12,0.018681984,-6.231556 / ((square(x1) * 0.030264819) + ((x0 - x1) + -0.674757)),1.8458441684847313,-6.231556/(x0 + x1**2*0.030264819 - x1 - 0.674757),PySRFunction(X=>-6.231556/(x0 + x1**2*0.030264819 - x1 - 0.674757))
11,14,0.014632297,(-10.797194 / ((x0 - x1) + -0.81889623)) + (cube(x1 + -12.46357) * 0.001375541),0.12216421407566834,(x1 - 12.46357)**3*0.001375541 - 10.797194/(x0 - x1 - 0.81889623),PySRFunction(X=>(x1 - 12.46357)**3*0.001375541 - 10.797194/(x0 - x1 - 0.81889623))
12,15,0.011560548,(square(cube(x1)) * 9.671239e-9) + (-4.499384 / ((x0 + -1.1429955) - (x1 * 0.41714457))),0.23563294189465206,x1**6*9.671239e-9 - 4.499384/(x0 - 0.41714457*x1 - 1.1429955),PySRFunction(X=>x1**6*9.671239e-9 - 4.499384/(x0 - 0.41714457*x1 - 1.1429955))
13,16,0.011295961,(cube(x1 + -11.110537) * 0.0011215098) + (-7.244542 / ((x0 + -0.9838124) - (x1 * 0.69130623))),0.023153038769596852,(x1 - 11.110537)**3*0.0011215098 - 7.244542/(x0 - 0.69130623*x1 - 0.9838124),PySRFunction(X=>(x1 - 11.110537)**3*0.0011215098 - 7.244542/(x0 - 0.69130623*x1 - 0.9838124))
14,17,0.010999659,(cube(x1 + -12.086967) * 0.0012857175) + ((-10.483515 - cube(x0)) / ((x0 + -0.9198987) - x1)),0.02658095587749051,(-x0**3 - 10.483515)/(x0 - x1 - 0.9198987) + (x1 - 12.086967)**3*0.0012857175,PySRFunction(X=>(-x0**3 - 10.483515)/(x0 - x1 - 0.9198987) + (x1 - 12.086967)**3*0.0012857175)
15,18,0.008515009,(cube(x1 + -10.806393) * 0.0010684401) + ((-7.1061797 - x0) / ((x0 + -1.0070173) - (x1 * 0.726335))),0.25603390124545866,(-x0 - 7.1061797)/(x0 - 0.726335*x1 - 1.0070173) + (x1 - 10.806393)**3*0.0010684401,PySRFunction(X=>(-x0 - 7.1061797)/(x0 - 0.726335*x1 - 1.0070173) + (x1 - 10.806393)**3*0.0010684401)
16,19,0.0073740995,(cube(x1 + -10.465626) * 0.0010197622) + ((-6.5098257 - tanh(x0)) / ((x0 + -1.0198737) - (x1 * 0.66624624))),0.14385657799645252,(x1 - 10.465626)**3*0.0010197622 + (-tanh(x0) - 6.5098257)/(x0 - 0.66624624*x1 - 1.0198737),PySRFunction(X=>(x1 - 10.465626)**3*0.0010197622 + (-tanh(x0) - 6.5098257)/(x0 - 0.66624624*x1 - 1.0198737))
17,20,0.0037699162,(-0.0005233529 * cube(x0 - x1)) + (((2.4394808 * x0) / (x1 - 0.8207306)) - (-2.4886565 - (x1 * -0.22177851))),0.6709210199797891,2.4394808*x0/(x1 - 1*0.8207306) - 0.0005233529*(x0 - x1)**3 - (-(-0.22177851)*x1 - 2.4886565),PySRFunction(X=>2.4394808*x0/(x1 - 1*0.8207306) - 0.0005233529*(x0 - x1)**3 - (-(-0.22177851)*x1 - 2.4886565))
