,complexity,loss,equation,score,sympy_format,lambda_format
0,1,11.107112,2.5317647,0.0,2.53176470000000,PySRFunction(X=>2.53176470000000)
1,3,7.70573,x0 / 0.17918056,0.18281070795400134,x0/0.17918056,PySRFunction(X=>x0/0.17918056)
2,4,4.53665,cube(x0) * 10.104593,0.529775353737891,x0**3*10.104593,PySRFunction(X=>x0**3*10.104593)
3,5,0.4945003,-0.55933994 / (x0 + -1.0034448),2.216396375465376,-0.55933994/(x0 - 1.0034448),PySRFunction(X=>-0.55933994/(x0 - 1.0034448))
4,6,0.3400202,-1.2868137 / (cube(x0) + -0.9903199),0.3745427301258863,-1.2868137/(x0**3 - 0.9903199),PySRFunction(X=>-1.2868137/(x0**3 - 0.9903199))
5,7,0.33106107,-0.91832477 / tanh(square(x0) + -0.9961581),0.026702167740777417,-0.91832477/tanh(x0**2 - 0.9961581),PySRFunction(X=>-0.91832477/tanh(x0**2 - 0.9961581))
6,8,0.31807148,(-1.6006155 / (cube(x0) - 1.002899)) - x0,0.04002672247414654,-x0 - 1.6006155/(x0**3 - 1*1.002899),PySRFunction(X=>-x0 - 1.6006155/(x0**3 - 1*1.002899))
7,9,0.17549591,(0.47521365 / (0.9988094 - x0)) + (1.814965 / x1),0.5946603996041263,0.47521365/(0.9988094 - x0) + 1.814965/x1,PySRFunction(X=>0.47521365/(0.9988094 - x0) + 1.814965/x1)
8,10,0.022781594,(0.5151304 / (1.0008495 - x0)) / tanh(x0 * x1),2.0416628085589537,0.5151304/((1.0008495 - x0)*tanh(x0*x1)),PySRFunction(X=>0.5151304/((1.0008495 - x0)*tanh(x0*x1)))
9,11,9.862627e-05,(0.4997359 / (0.9999872 - x0)) - (-0.4998004 / (x1 * x0)),5.442370552071538,0.4997359/(0.9999872 - x0) - (-1)*0.4998004/(x0*x1),PySRFunction(X=>0.4997359/(0.9999872 - x0) - (-1)*0.4998004/(x0*x1))
10,13,9.509546e-05,((0.50041014 / (1.0000194 - x0)) - 0.003341866) - (-0.5006276 / (x1 * x0)),0.01822821347638941,-1*0.003341866 + 0.50041014/(1.0000194 - x0) - (-1)*0.5006276/(x0*x1),PySRFunction(X=>-1*0.003341866 + 0.50041014/(1.0000194 - x0) - (-1)*0.5006276/(x0*x1))
11,15,9.266315e-05,((0.50041014 / (1.0000194 - x0)) - 0.0043678717) - (-0.5035804 / ((x0 * x1) + 0.0012703683)),0.012955177263893114,-1*0.0043678717 - (-1)*0.5035804/(x0*x1 + 0.0012703683) + 0.50041014/(1.0000194 - x0),PySRFunction(X=>-1*0.0043678717 - (-1)*0.5035804/(x0*x1 + 0.0012703683) + 0.50041014/(1.0000194 - x0))
12,17,8.491767e-05,((0.4997312 / (0.99998933 - x0)) - ((-0.49939367 / x1) / x0)) + (-0.010894895 / (x1 + -6.7175207)),0.04364433789590715,-0.010894895/(x1 - 6.7175207) + 0.4997312/(0.99998933 - x0) - (-1)*0.49939367/(x0*x1),PySRFunction(X=>-0.010894895/(x1 - 6.7175207) + 0.4997312/(0.99998933 - x0) - (-1)*0.49939367/(x0*x1))
13,18,8.365247e-05,((0.5000614 / (1.0000037 - x0)) - (-0.49911892 / (x0 * x1))) + (-0.0030007411 / tanh(x1 + -7.281736)),0.01501124407904189,-0.0030007411/tanh(x1 - 7.281736) + 0.5000614/(1.0000037 - x0) - (-1)*0.49911892/(x0*x1),PySRFunction(X=>-0.0030007411/tanh(x1 - 7.281736) + 0.5000614/(1.0000037 - x0) - (-1)*0.49911892/(x0*x1))
14,20,8.156114e-05,(-0.0034390823 / tanh(x1 + -7.267385)) + ((0.5000614 / (1.0000037 - x0)) - ((-0.5010658 / x0) / (x1 - -0.006393455))),0.012659015871392574,-0.0034390823/tanh(x1 - 7.267385) + 0.5000614/(1.0000037 - x0) - (-1)*0.5010658/(x0*(x1 - 1*(-0.006393455))),PySRFunction(X=>-0.0034390823/tanh(x1 - 7.267385) + 0.5000614/(1.0000037 - x0) - (-1)*0.5010658/(x0*(x1 - 1*(-0.006393455))))
