,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.2792712,1.7686267,0.0,1.76862670000000,PySRFunction(X=>1.76862670000000)
1,3,0.22062816,x0 * 3.5558352,0.8787835346134993,x0*3.5558352,PySRFunction(X=>x0*3.5558352)
2,4,0.082080565,cube(x0 + 0.63795304),0.9887774856041314,(x0 + 0.63795304)**3,PySRFunction(X=>(x0 + 0.63795304)**3)
3,5,0.00043984642,cube(cube(x0) + 0.9155629),5.229030923381952,(x0**3 + 0.9155629)**3,PySRFunction(X=>(x0**3 + 0.9155629)**3)
4,6,5.6579793e-05,-0.52245265 / tanh(x0 + -0.9909889),2.0507737131970747,-0.52245265/tanh(x0 - 0.9909889),PySRFunction(X=>-0.52245265/tanh(x0 - 0.9909889))
5,7,2.0494483e-08,(-0.4587096 / (x0 + -0.9793789)) + 0.19970629,7.923251458338948,0.19970629 - 0.4587096/(x0 - 0.9793789),PySRFunction(X=>0.19970629 - 0.4587096/(x0 - 0.9793789))
6,8,5.469107e-10,square((x0 * -2.873182) + 0.7405071) + 0.6072737,3.6236254719742367,(0.7405071 + x0*(-2.873182))**2 + 0.6072737,PySRFunction(X=>(0.7405071 + x0*(-2.873182))**2 + 0.6072737)
7,9,0.0,((x0 * 2.4415338) + -0.22711223) - (x1 * -0.027313232),inf,x0*2.4415338 - (-0.027313232)*x1 - 0.22711223,PySRFunction(X=>x0*2.4415338 - (-0.027313232)*x1 - 0.22711223)
