,complexity,loss,equation,score,sympy_format,lambda_format
0,1,13.029136,2.6471741,0.0,2.64717410000000,PySRFunction(X=>2.64717410000000)
1,3,11.428,x0 * 5.2711973,0.06556079802545864,x0*5.2711973,PySRFunction(X=>x0*5.2711973)
2,4,9.079657,cube(x0 * 2.1243732),0.23003006779922705,9.58721444810252*x0**3,PySRFunction(X=>9.58721444810252*x0**3)
3,5,4.64649,-0.6009154 / (x0 + -1.0053896),0.6699243207138965,-0.6009154/(x0 - 1.0053896),PySRFunction(X=>-0.6009154/(x0 - 1.0053896))
4,6,3.5564187,0.3624058 / (x0 - square(x0)),0.2673580404781852,0.3624058/(-x0**2 + x0),PySRFunction(X=>0.3624058/(-x0**2 + x0))
5,7,2.4218118,(-0.29288504 / (x0 + -0.9894203)) / x0,0.38423811764200727,-0.29288504/(x0*(x0 - 0.9894203)),PySRFunction(X=>-0.29288504/(x0*(x0 - 0.9894203)))
6,8,1.9255632,-0.19156209 / ((tanh(x0) + -0.7605117) * x0),0.22929744135756616,-0.19156209*1/(x0*(tanh(x0) - 0.7605117)),PySRFunction(X=>-0.19156209*1/(x0*(tanh(x0) - 0.7605117)))
7,9,1.6401922,x0 / ((x0 - 0.023066286) - square(square(x0))),0.16040506628639814,x0/(-x0**4 + x0 - 1*0.023066286),PySRFunction(X=>x0/(-x0**4 + x0 - 1*0.023066286))
8,10,0.11669192,-0.49311137 / (tanh(x1 * x0) * (x0 + -1.0002646)),2.643031409538644,-0.49311137*1/((x0 - 1.0002646)*tanh(x0*x1)),PySRFunction(X=>-0.49311137*1/((x0 - 1.0002646)*tanh(x0*x1)))
9,11,1.1479173e-12,(0.5 / (x0 * x1)) + (-0.50000006 / (x0 + -1.0)),25.344853879506186,-0.50000006/(x0 - 1.0) + 0.5/((x0*x1)),PySRFunction(X=>-0.50000006/(x0 - 1.0) + 0.5/((x0*x1)))
10,13,1.133067e-12,(-0.50000006 / (x0 + -1.0)) + (((0.5 / x1) / x0) + 4.5847483e-7),0.006510570818892163,4.5847483e-7 - 0.50000006/(x0 - 1.0) + 0.5/(x0*x1),PySRFunction(X=>4.5847483e-7 - 0.50000006/(x0 - 1.0) + 0.5/(x0*x1))
11,15,9.248779e-13,(-0.50000006 / (x0 + -1.0)) + (((0.5 / x1) / x0) + (x0 * 7.513908e-7)),0.10151083275982899,x0*7.513908e-7 - 0.50000006/(x0 - 1.0) + 0.5/(x0*x1),PySRFunction(X=>x0*7.513908e-7 - 0.50000006/(x0 - 1.0) + 0.5/(x0*x1))
12,17,7.609913e-14,((0.5 / (x1 * x0)) + (-2.8142079e-8 / (x0 - 0.95507145))) + (-0.50000006 / (x0 - 1.0)),1.2488124481616274,-0.50000006/(x0 - 1*1.0) - 2.8142079e-8/(x0 - 1*0.95507145) + 0.5/((x0*x1)),PySRFunction(X=>-0.50000006/(x0 - 1*1.0) - 2.8142079e-8/(x0 - 1*0.95507145) + 0.5/((x0*x1)))
