,complexity,loss,equation,score,sympy_format,lambda_format
0,1,10.5096855,2.5758412,0.0,2.57584120000000,PySRFunction(X=>2.57584120000000)
1,3,9.163026,x0 / 0.19326004,0.06856039354071396,x0/0.19326004,PySRFunction(X=>x0/0.19326004)
2,4,7.1191216,cube(x0 / 0.4744784),0.2523921264511203,9.36161249454366*x0**3,PySRFunction(X=>9.36161249454366*x0**3)
3,5,2.8134918,0.6029223 / (1.0055404 - x0),0.9283580016588987,0.6029223/(1.0055404 - x0),PySRFunction(X=>0.6029223/(1.0055404 - x0))
4,6,2.2737136,-1.3992459 / (cube(x0) - 0.9964441),0.21301190344165644,-1.3992459/(x0**3 - 1*0.9964441),PySRFunction(X=>-1.3992459/(x0**3 - 1*0.9964441))
5,7,2.2341163,-1.6041559 / (square(square(x0)) - 0.9828319),0.017568683547189334,-1.6041559/(x0**4 - 1*0.9828319),PySRFunction(X=>-1.6041559/(x0**4 - 1*0.9828319))
6,8,1.7840787,0.5097681 / (tanh(x0 / 0.20093116) - x0),0.22494361084423745,0.5097681/(-x0 + tanh(x0/0.20093116)),PySRFunction(X=>0.5097681/(-x0 + tanh(x0/0.20093116)))
7,9,1.6922059,(0.51174724 / (1.000605 - x0)) + (0.10911407 / x0),0.052869203446888786,0.51174724/(1.000605 - x0) + 0.10911407/x0,PySRFunction(X=>0.51174724/(1.000605 - x0) + 0.10911407/x0)
8,10,0.15118727,(-0.517177 / (x0 - 1.003215)) / tanh(x1 * x0),2.4152689559905327,-0.517177/((x0 - 1*1.003215)*tanh(x0*x1)),PySRFunction(X=>-0.517177/((x0 - 1*1.003215)*tanh(x0*x1)))
9,11,3.0777336e-12,(0.49999973 / (1.0 - x0)) + ((0.50000006 / x0) / x1),24.617591622062267,0.49999973/(1.0 - x0) + 0.50000006/(x0*x1),PySRFunction(X=>0.49999973/(1.0 - x0) + 0.50000006/(x0*x1))
10,13,2.3649349e-12,((0.49999973 / (1.0 - x0)) + ((0.50000006 / x0) / x1)) + 7.5187853e-7,0.13172149341273356,7.5187853e-7 + 0.49999973/(1.0 - x0) + 0.50000006/(x0*x1),PySRFunction(X=>7.5187853e-7 + 0.49999973/(1.0 - x0) + 0.50000006/(x0*x1))
11,15,1.5869261e-12,((0.50000006 / x0) / x1) + ((0.49999958 / (1.0 - x0)) - (x0 * -2.9221942e-6)),0.19947581026271888,-(-2.9221942e-6)*x0 + 0.49999958/(1.0 - x0) + 0.50000006/(x0*x1),PySRFunction(X=>-(-2.9221942e-6)*x0 + 0.49999958/(1.0 - x0) + 0.50000006/(x0*x1))
12,16,1.2171064e-12,(0.49999943 / (1.0 - x0)) + ((cube(x0) * 7.4493814e-6) + ((0.50000006 / x0) / x1)),0.265322636326872,x0**3*7.4493814e-6 + 0.49999943/(1.0 - x0) + 0.50000006/(x0*x1),PySRFunction(X=>x0**3*7.4493814e-6 + 0.49999943/(1.0 - x0) + 0.50000006/(x0*x1))
13,17,1.1469936e-12,((0.50000006 / (x0 * x1)) + (0.49999943 / (1.0 - x0))) + (square(square(x0)) * 8.79272e-6),0.059331979927321365,x0**4*8.79272e-6 + 0.49999943/(1.0 - x0) + 0.50000006/((x0*x1)),PySRFunction(X=>x0**4*8.79272e-6 + 0.49999943/(1.0 - x0) + 0.50000006/((x0*x1)))
14,18,1.126228e-12,(((x0 * 8.79272e-6) * cube(x0)) + (0.49999943 / (1.0 - x0))) + ((0.50000006 / x1) / x0),0.01827026245999885,x0*8.79272e-6*x0**3 + 0.49999943/(1.0 - x0) + 0.50000006/(x0*x1),PySRFunction(X=>x0*8.79272e-6*x0**3 + 0.49999943/(1.0 - x0) + 0.50000006/(x0*x1))
15,20,1.0900791e-12,(square(square(x0)) * (tanh(x1) * 8.990553e-6)) + ((0.49999943 / (1.0 - x0)) + (0.50000006 / (x0 * x1))),0.016311866741471403,x0**4*tanh(x1)*8.990553e-6 + 0.49999943/(1.0 - x0) + 0.50000006/((x0*x1)),PySRFunction(X=>x0**4*tanh(x1)*8.990553e-6 + 0.49999943/(1.0 - x0) + 0.50000006/((x0*x1)))
