,complexity,loss,equation,score,sympy_format,lambda_format
0,1,14.337485,2.8325384,0.0,2.83253840000000,PySRFunction(X=>2.83253840000000)
1,3,11.436404,x0 * 5.661056,0.113037917686969,x0*5.661056,PySRFunction(X=>x0*5.661056)
2,4,7.8139524,cube(x0 * 2.1693645),0.38089069588958807,10.2093381110236*x0**3,PySRFunction(X=>10.2093381110236*x0**3)
3,5,1.6847075,-0.57698536 / (x0 + -1.003867),1.5343189467526193,-0.57698536/(x0 - 1.003867),PySRFunction(X=>-0.57698536/(x0 - 1.003867))
4,6,1.3162711,-1.3494841 / (cube(x0) - 0.9937372),0.24678914350437198,-1.3494841/(x0**3 - 1*0.9937372),PySRFunction(X=>-1.3494841/(x0**3 - 1*0.9937372))
5,8,1.1523885,-0.5093376 / (x0 - tanh(x0 / 0.17819305)),0.06648303486119021,-0.5093376/(x0 - tanh(x0/0.17819305)),PySRFunction(X=>-0.5093376/(x0 - tanh(x0/0.17819305)))
6,9,1.0581162,(0.09162528 / x0) + (-0.51687473 / (x0 + -1.0008057)),0.08534658773162207,-0.51687473/(x0 - 1.0008057) + 0.09162528/x0,PySRFunction(X=>-0.51687473/(x0 - 1.0008057) + 0.09162528/x0)
7,10,0.073628895,(-0.50782067 / (x0 + -1.0011302)) / tanh(x1 * x0),2.6652078924568303,-0.50782067/((x0 - 1.0011302)*tanh(x0*x1)),PySRFunction(X=>-0.50782067/((x0 - 1.0011302)*tanh(x0*x1)))
8,11,0.00012754109,(0.50052243 / (x1 * x0)) + (0.49974516 / (0.9999735 - x0)),6.358354235591358,0.49974516/(0.9999735 - x0) + 0.50052243/((x0*x1)),PySRFunction(X=>0.49974516/(0.9999735 - x0) + 0.50052243/((x0*x1)))
9,13,0.00012154437,((0.49885705 / (x0 + -0.00014368442)) / x1) + (0.4998933 / (0.99998075 - x0)),0.024079602943550805,0.4998933/(0.99998075 - x0) + 0.49885705/(x1*(x0 - 0.00014368442)),PySRFunction(X=>0.4998933/(0.99998075 - x0) + 0.49885705/(x1*(x0 - 0.00014368442)))
10,15,0.00011041012,(0.50031704 / (x1 * x0)) + (((0.0017265864 / x1) - -0.4994324) / (0.9999819 - x0)),0.04803879249668918,(-1*(-0.4994324) + 0.0017265864/x1)/(0.9999819 - x0) + 0.50031704/((x0*x1)),PySRFunction(X=>(-1*(-0.4994324) + 0.0017265864/x1)/(0.9999819 - x0) + 0.50031704/((x0*x1)))
11,17,0.000101313686,(((0.0018164419 / x1) - -0.49944374) / (0.999983 - x0)) + ((0.4986965 / (x0 + -0.00014366535)) / x1),0.04299014526352553,(-1*(-0.49944374) + 0.0018164419/x1)/(0.999983 - x0) + 0.4986965/(x1*(x0 - 0.00014366535)),PySRFunction(X=>(-1*(-0.49944374) + 0.0018164419/x1)/(0.999983 - x0) + 0.4986965/(x1*(x0 - 0.00014366535)))
12,19,0.00010040721,(((0.0019091597 / x1) - -0.49944365) / (0.99998486 - x0)) + ((0.5002366 / (x0 + -0.00012062287)) / (x1 + 0.003855847)),0.004493744176628759,0.5002366/((x0 - 0.00012062287)*(x1 + 0.003855847)) + (-1*(-0.49944365) + 0.0019091597/x1)/(0.99998486 - x0),PySRFunction(X=>0.5002366/((x0 - 0.00012062287)*(x1 + 0.003855847)) + (-1*(-0.49944365) + 0.0019091597/x1)/(0.99998486 - x0))
