,complexity,loss,equation,score,sympy_format,lambda_format
0,1,16.681078,3.0358458,0.0,3.03584580000000,PySRFunction(X=>3.03584580000000)
1,3,11.931833,x0 * 6.010962,0.1675325762811455,x0*6.010962,PySRFunction(X=>x0*6.010962)
2,4,7.412947,cube(x0 * 2.1712844),0.47598180453037947,10.2364680750375*x0**3,PySRFunction(X=>10.2364680750375*x0**3)
3,5,0.66799104,-0.53806037 / (x0 + -1.0020474),2.406708584756075,-0.53806037/(x0 - 1.0020474),PySRFunction(X=>-0.53806037/(x0 - 1.0020474))
4,6,0.55898637,-0.966917 / (square(x0) + -0.9989595),0.1781496702416783,-0.966917/(x0**2 - 0.9989595),PySRFunction(X=>-0.966917/(x0**2 - 0.9989595))
5,7,0.5554772,-0.9119833 / tanh(square(x0) + -0.99606),0.006297525898415293,-0.9119833/tanh(x0**2 - 0.99606),PySRFunction(X=>-0.9119833/tanh(x0**2 - 0.99606))
6,8,0.5354258,(-1.6073233 / (cube(x0) + -1.0033851)) - x0,0.036765245937255345,-x0 - 1.6073233/(x0**3 - 1.0033851),PySRFunction(X=>-x0 - 1.6073233/(x0**3 - 1.0033851))
7,9,0.37178752,(2.037199 / x1) + (-0.4642469 / (x0 - 0.9983816)),0.3647398099052748,-0.4642469/(x0 - 1*0.9983816) + 2.037199/x1,PySRFunction(X=>-0.4642469/(x0 - 1*0.9983816) + 2.037199/x1)
8,10,0.041054424,-0.5027394 / (tanh(x0 * x1) * (x0 + -1.0002518)),2.2034239071878905,-0.5027394*1/((x0 - 1.0002518)*tanh(x0*x1)),PySRFunction(X=>-0.5027394*1/((x0 - 1.0002518)*tanh(x0*x1)))
9,11,0.013784231,(0.50652623 / (x0 * x1)) + (-0.49888915 / (x0 - 1.0)),1.091373343456666,-0.49888915/(x0 - 1*1.0) + 0.50652623/((x0*x1)),PySRFunction(X=>-0.49888915/(x0 - 1*1.0) + 0.50652623/((x0*x1)))
10,12,0.01352742,(tanh(0.5322124 / x1) / x0) + (-0.49888828 / (x0 - 1.0000013)),0.018806521007724186,-0.49888828/(x0 - 1*1.0000013) + tanh(0.5322124/x1)/x0,PySRFunction(X=>-0.49888828/(x0 - 1*1.0000013) + tanh(0.5322124/x1)/x0)
11,13,0.0129970005,((0.46566278 / x1) / (x0 + -0.006858625)) + (-0.500909 / (x0 - 1.0000901)),0.040000136568264316,-0.500909/(x0 - 1*1.0000901) + 0.46566278/(x1*(x0 - 0.006858625)),PySRFunction(X=>-0.500909/(x0 - 1*1.0000901) + 0.46566278/(x1*(x0 - 0.006858625)))
12,14,0.01288673,(tanh(0.4931632 / x1) / (x0 - 0.005833657)) + (-0.49894357 / (x0 - 1.0)),0.00852050032941323,-0.49894357/(x0 - 1*1.0) + tanh(0.4931632/x1)/(x0 - 1*0.005833657),PySRFunction(X=>-0.49894357/(x0 - 1*1.0) + tanh(0.4931632/x1)/(x0 - 1*0.005833657))
13,15,0.0126610575,((0.5401965 / (x1 + x0)) / tanh(tanh(x0))) - (0.49762484 / (x0 - 0.9999486)),0.017667155707239795,0.5401965/((x0 + x1)*tanh(tanh(x0))) - 0.49762484/(x0 - 1*0.9999486),PySRFunction(X=>0.5401965/((x0 + x1)*tanh(tanh(x0))) - 0.49762484/(x0 - 1*0.9999486))
14,16,0.012419476,((-0.88985264 / (x0 + x1)) / tanh(x0 / -0.60402)) - (0.49557716 / (x0 - 0.99985665)),0.01926505843400791,-0.88985264/((x0 + x1)*tanh(x0/(-0.60402))) - 0.49557716/(x0 - 1*0.99985665),PySRFunction(X=>-0.88985264/((x0 + x1)*tanh(x0/(-0.60402))) - 0.49557716/(x0 - 1*0.99985665))
15,17,0.010629166,((0.50825876 / x1) / x0) + ((0.005493082 / (x0 - 0.598783)) - (0.49557716 / (x0 - 0.99985665))),0.15566415351988952,-0.49557716/(x0 - 1*0.99985665) + 0.005493082/(x0 - 1*0.598783) + 0.50825876/(x0*x1),PySRFunction(X=>-0.49557716/(x0 - 1*0.99985665) + 0.005493082/(x0 - 1*0.598783) + 0.50825876/(x0*x1))
16,18,0.010498687,((-0.0053868075 / (0.598825 - x0)) - (0.49557716 / (x0 - 0.99985665))) + (tanh(0.5336775 / x1) / x0),0.012351530353991773,-0.49557716/(x0 - 1*0.99985665) - 0.0053868075/(0.598825 - x0) + tanh(0.5336775/x1)/x0,PySRFunction(X=>-0.49557716/(x0 - 1*0.99985665) - 0.0053868075/(0.598825 - x0) + tanh(0.5336775/x1)/x0)
17,19,0.009723422,(((0.4660799 / x1) / (x0 + -0.0070468467)) - (0.49588022 / (x0 - 0.99985665))) + (-0.005319411 / (0.60154307 - x0)),0.07671258759754827,-0.49588022/(x0 - 1*0.99985665) - 0.005319411/(0.60154307 - x0) + 0.4660799/(x1*(x0 - 0.0070468467)),PySRFunction(X=>-0.49588022/(x0 - 1*0.99985665) - 0.005319411/(0.60154307 - x0) + 0.4660799/(x1*(x0 - 0.0070468467)))
18,20,0.009718687,(((0.4660799 / x1) / (x0 + -0.0070468467)) - (0.49588022 / (x0 - 0.99985665))) + tanh(-0.005319411 / (0.60154307 - x0)),0.0004870870843915949,tanh(-0.005319411/(0.60154307 - x0)) - 0.49588022/(x0 - 1*0.99985665) + 0.4660799/(x1*(x0 - 0.0070468467)),PySRFunction(X=>tanh(-0.005319411/(0.60154307 - x0)) - 0.49588022/(x0 - 1*0.99985665) + 0.4660799/(x1*(x0 - 0.0070468467)))
