,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.19204377,1.7038171,0.0,1.70381710000000,PySRFunction(X=>1.70381710000000)
1,3,0.14397275,x0 + 1.1987803,0.14404963461968856,x0 + 1.1987803,PySRFunction(X=>x0 + 1.1987803)
2,4,0.062027555,1.5782351 / tanh(x1),0.8420453237607124,1.5782351/tanh(x1),PySRFunction(X=>1.5782351/tanh(x1))
3,5,0.0019563136,cube(2.1095207 - tanh(x1)),3.456516835836807,(2.1095207 - tanh(x1))**3,PySRFunction(X=>(2.1095207 - tanh(x1))**3)
4,6,0.00030625408,0.7248211 / (tanh(x1) + -0.47300017),1.8544020807229216,0.7248211/(tanh(x1) - 0.47300017),PySRFunction(X=>0.7248211/(tanh(x1) - 0.47300017))
5,7,0.00013598253,2.3921864 - tanh(square(x1) + -1.1294988),0.8118886626166376,2.3921864 - tanh(x1**2 - 1.1294988),PySRFunction(X=>2.3921864 - tanh(x1**2 - 1.1294988))
6,8,3.1324173e-05,2.3882554 - tanh((x1 + -1.0545233) * 2.206504),1.4681363218073744,2.3882554 - tanh((x1 - 1.0545233)*2.206504),PySRFunction(X=>2.3882554 - tanh((x1 - 1.0545233)*2.206504))
7,10,1.1667257e-05,(((x0 * 0.2270675) + 3.3080096) / tanh(x1)) - 2.0520706,0.4938018641269971,(x0*0.2270675 + 3.3080096)/tanh(x1) - 1*2.0520706,PySRFunction(X=>(x0*0.2270675 + 3.3080096)/tanh(x1) - 1*2.0520706)
8,11,9.667191e-07,(1.2277975 / tanh(x1 / 1.6121563)) + (cube(x0) * 0.73742896),2.4906336833085487,x0**3*0.73742896 + 1.2277975/tanh(x1/1.6121563),PySRFunction(X=>x0**3*0.73742896 + 1.2277975/tanh(x1/1.6121563))
9,12,9.3411316e-08,((-0.054079186 / x0) + 1.4729671) / tanh((x1 / 1.2322294) - 0.18216933),2.336895473001876,(1.4729671 - 0.054079186/x0)/tanh(x1/1.2322294 - 1*0.18216933),PySRFunction(X=>(1.4729671 - 0.054079186/x0)/tanh(x1/1.2322294 - 1*0.18216933))
10,13,2.5186884e-08,(1.3627863 / tanh(x1 / 1.5223607)) + ((cube(x0) + -0.17707722) * 0.70104474),1.310689111380727,(x0**3 - 0.17707722)*0.70104474 + 1.3627863/tanh(x1/1.5223607),PySRFunction(X=>(x0**3 - 0.17707722)*0.70104474 + 1.3627863/tanh(x1/1.5223607))
11,16,3.541345e-12,(((x0 / 2.6173916) + 1.6503376) / tanh(x1 / 1.3160884)) - ((x0 * 0.036668345) - -0.4724308),2.956524021108679,-(x0*0.036668345 - 1*(-0.4724308)) + (x0/2.6173916 + 1.6503376)/tanh(x1/1.3160884),PySRFunction(X=>-(x0*0.036668345 - 1*(-0.4724308)) + (x0/2.6173916 + 1.6503376)/tanh(x1/1.3160884))
12,17,3.2741808e-12,(((x0 / 2.6173918) + 1.6503373) / tanh(x1 / 1.316087)) - (tanh(x0 * 0.036671907) - -0.4724308),0.0784388980951959,(x0/2.6173918 + 1.6503373)/tanh(x1/1.316087) - (tanh(x0*0.036671907) - 1*(-0.4724308)),PySRFunction(X=>(x0/2.6173918 + 1.6503373)/tanh(x1/1.316087) - (tanh(x0*0.036671907) - 1*(-0.4724308)))
13,19,2.4954262e-12,(((x0 / 2.7358634) + 1.1317797) / tanh(x1 / 1.5898592)) - (tanh(tanh(x0)) * (square(x1) * -0.003222132)),0.13580408206732186,-(-0.003222132)*x1**2*tanh(tanh(x0)) + (x0/2.7358634 + 1.1317797)/tanh(x1/1.5898592),PySRFunction(X=>-(-0.003222132)*x1**2*tanh(tanh(x0)) + (x0/2.7358634 + 1.1317797)/tanh(x1/1.5898592))
