,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.95009905,1.765884,0.0,1.76588400000000,PySRFunction(X=>1.76588400000000)
1,3,0.10318044,6.872883 / x1,1.1100434710588603,6.872883/x1,PySRFunction(X=>6.872883/x1)
2,4,0.028890684,cube(x0 - -0.61802256),1.272960109989403,(x0 - 1*(-0.61802256))**3,PySRFunction(X=>(x0 - 1*(-0.61802256))**3)
3,5,0.0018434129,0.6223971 / (1.0231858 - x0),2.7519004997187992,0.6223971/(1.0231858 - x0),PySRFunction(X=>0.6223971/(1.0231858 - x0))
4,6,4.2723117e-05,0.7724029 / (0.80730104 - cube(x0)),3.76463381400029,0.7724029/(0.80730104 - x0**3),PySRFunction(X=>0.7724029/(0.80730104 - x0**3))
5,7,5.7520882e-08,((x1 + 6.628845) * x0) + -4.2827888,6.610347387363347,x0*(x1 + 6.628845) - 4.2827888,PySRFunction(X=>x0*(x1 + 6.628845) - 4.2827888)
6,8,7.9476575e-10,square((x0 * -3.3885422) - -1.3356518) + 1.0111502,4.281855908927071,(x0*(-3.3885422) - 1*(-1.3356518))**2 + 1.0111502,PySRFunction(X=>(x0*(-3.3885422) - 1*(-1.3356518))**2 + 1.0111502)
7,9,0.0,((x1 * 0.25109446) + -3.7130904) - (x0 * -7.588043),inf,-(-7.588043)*x0 + x1*0.25109446 - 3.7130904,PySRFunction(X=>-(-7.588043)*x0 + x1*0.25109446 - 3.7130904)
