,complexity,loss,equation,score,sympy_format,lambda_format
0,1,12.200671,2.6315827,0.0,2.63158270000000,PySRFunction(X=>2.63158270000000)
1,3,8.929756,x0 * 5.7085786,0.15605093966993763,x0*5.7085786,PySRFunction(X=>x0*5.7085786)
2,4,5.828796,cube(x0 / 0.45680377),0.4265786098625624,10.4908568626058*x0**3,PySRFunction(X=>10.4908568626058*x0**3)
3,5,2.3562348,0.62646353 / (1.0077416 - x0),0.905745539759334,0.62646353/(1.0077416 - x0),PySRFunction(X=>0.62646353/(1.0077416 - x0))
4,6,2.1388063,1.3992049 / (0.9972762 - cube(x0)),0.09681705159993428,1.3992049/(0.9972762 - x0**3),PySRFunction(X=>1.3992049/(0.9972762 - x0**3))
5,8,2.0553963,(x0 + 0.03787068) / (x0 - cube(x0)),0.019889596797035745,(x0 + 0.03787068)/(-x0**3 + x0),PySRFunction(X=>(x0 + 0.03787068)/(-x0**3 + x0))
6,9,2.0214128,(0.5720395 / (1.0045304 - x0)) + (0.0664116 / x0),0.01667200318763372,0.5720395/(1.0045304 - x0) + 0.0664116/x0,PySRFunction(X=>0.5720395/(1.0045304 - x0) + 0.0664116/x0)
7,10,1.2291392,(0.51015145 / (1.0014186 - x0)) / tanh(x0 * x1),0.4974825858979087,0.51015145/((1.0014186 - x0)*tanh(x0*x1)),PySRFunction(X=>0.51015145/((1.0014186 - x0)*tanh(x0*x1)))
8,11,1.1128206,(0.55376726 / (1.0034627 - x0)) + (0.4586247 / (x1 * x0)),0.09941621366772296,0.55376726/(1.0034627 - x0) + 0.4586247/((x0*x1)),PySRFunction(X=>0.55376726/(1.0034627 - x0) + 0.4586247/((x0*x1)))
9,12,1.0929036,(0.47970003 / (0.99980694 - x0)) + (0.45728067 / tanh(x1 * x0)),0.018059865634186826,0.45728067/tanh(x0*x1) + 0.47970003/(0.99980694 - x0),PySRFunction(X=>0.45728067/tanh(x0*x1) + 0.47970003/(0.99980694 - x0))
10,14,1.0762819,((0.4396918 / (0.9984196 - x0)) + x0) / tanh((x0 + x1) * x0),0.0076627957047228105,(x0 + 0.4396918/(0.9984196 - x0))/tanh(x0*(x0 + x1)),PySRFunction(X=>(x0 + 0.4396918/(0.9984196 - x0))/tanh(x0*(x0 + x1)))
11,15,1.0723233,((0.45366928 / (0.9988569 - x0)) + tanh(x0)) / tanh((x1 + x0) * x0),0.0036848132724475275,(tanh(x0) + 0.45366928/(0.9988569 - x0))/tanh(x0*(x0 + x1)),PySRFunction(X=>(tanh(x0) + 0.45366928/(0.9988569 - x0))/tanh(x0*(x0 + x1)))
12,16,1.0616736,((0.5117229 / (1.0014188 - x0)) + 0.2738812) / tanh((x1 + x0) * (x0 - -0.016127598)),0.009981072054706018,(0.2738812 + 0.5117229/(1.0014188 - x0))/tanh((x0 - 1*(-0.016127598))*(x0 + x1)),PySRFunction(X=>(0.2738812 + 0.5117229/(1.0014188 - x0))/tanh((x0 - 1*(-0.016127598))*(x0 + x1)))
13,18,1.0585015,((x1 - 2.0672917) / (x1 / x0)) + ((0.47770628 / (1.0005996 - x0)) / tanh(x1 * x0)),0.0014961511277447308,0.47770628/((1.0005996 - x0)*tanh(x0*x1)) + (x1 - 1*2.0672917)/((x1/x0)),PySRFunction(X=>0.47770628/((1.0005996 - x0)*tanh(x0*x1)) + (x1 - 1*2.0672917)/((x1/x0)))
14,19,1.0387354,((0.4819883 / (1.0005977 - x0)) / tanh(x0 * x1)) + (x0 - (square(x0) / (0.3326431 * x1))),0.018850216957698614,-x0**2/(0.3326431*x1) + x0 + 0.4819883/((1.0005977 - x0)*tanh(x0*x1)),PySRFunction(X=>-x0**2/(0.3326431*x1) + x0 + 0.4819883/((1.0005977 - x0)*tanh(x0*x1)))
15,20,1.0229731,(x0 - ((-0.3233896 + x0) / (x1 * 0.25622508))) + ((0.46444976 / (0.9996195 - x0)) / tanh(x1 * x0)),0.015290820320151381,x0 + 0.46444976/((0.9996195 - x0)*tanh(x0*x1)) - (x0 - 0.3233896)/(x1*0.25622508),PySRFunction(X=>x0 + 0.46444976/((0.9996195 - x0)*tanh(x0*x1)) - (x0 - 0.3233896)/(x1*0.25622508))
