,complexity,loss,equation,score,sympy_format,lambda_format
0,1,9.801406,2.75587,0.0,2.75587000000000,PySRFunction(X=>2.75587000000000)
1,3,7.975568,x0 * 5.224063,0.10307148803414931,x0*5.224063,PySRFunction(X=>x0*5.224063)
2,4,6.024178,cube(x0 * 2.065892),0.2806018301714139,8.81704062094821*x0**3,PySRFunction(X=>8.81704062094821*x0**3)
3,5,1.6220664,-0.57774943 / (x0 + -1.0043365),1.312080146563827,-0.57774943/(x0 - 1.0043365),PySRFunction(X=>-0.57774943/(x0 - 1.0043365))
4,6,1.1712688,1.3783566 / (0.9956008 - cube(x0)),0.32561328630099706,1.3783566/(0.9956008 - x0**3),PySRFunction(X=>1.3783566/(0.9956008 - x0**3))
5,7,1.1499696,-1.6067002 / (square(square(x0)) + -0.9831553),0.018352098425851608,-1.6067002/(x0**4 - 0.9831553),PySRFunction(X=>-1.6067002/(x0**4 - 0.9831553))
6,8,1.0604872,(-1.7259682 / (cube(x0) + -1.0095325)) - x0,0.08100708207179153,-x0 - 1.7259682/(x0**3 - 1.0095325),PySRFunction(X=>-x0 - 1.7259682/(x0**3 - 1.0095325))
7,9,0.90261304,(2.3995774 / x1) + (-0.4416043 / (x0 + -0.99722975)),0.16118976971227864,-0.4416043/(x0 - 0.99722975) + 2.3995774/x1,PySRFunction(X=>-0.4416043/(x0 - 0.99722975) + 2.3995774/x1)
8,10,0.043730106,(-0.5031339 / tanh(x0 * x1)) / (x0 + -1.0001589),3.027257145054079,-0.5031339/((x0 - 1.0001589)*tanh(x0*x1)),PySRFunction(X=>-0.5031339/((x0 - 1.0001589)*tanh(x0*x1)))
9,11,8.156824e-07,(-0.50004345 / (-1.0000025 + x0)) - ((-0.50001925 / x0) / x1),10.889522283837659,-0.50004345/(x0 - 1.0000025) - (-1)*0.50001925/(x0*x1),PySRFunction(X=>-0.50004345/(x0 - 1.0000025) - (-1)*0.50001925/(x0*x1))
10,13,8.138738e-07,((-0.50006324 / (x0 + -1.0000036)) - ((-0.50001925 / x0) / x1)) + -7.8806945e-5,0.0011098731928498417,-7.8806945e-5 - 0.50006324/(x0 - 1.0000036) - (-1)*0.50001925/(x0*x1),PySRFunction(X=>-7.8806945e-5 - 0.50006324/(x0 - 1.0000036) - (-1)*0.50001925/(x0*x1))
11,15,7.8230556e-07,((-0.5001571 / (x0 + -1.0000074)) - (x0 * 0.0008141515)) - ((-0.50001925 / x0) / x1),0.019779955607205264,-0.0008141515*x0 - 0.5001571/(x0 - 1.0000074) - (-1)*0.50001925/(x0*x1),PySRFunction(X=>-0.0008141515*x0 - 0.5001571/(x0 - 1.0000074) - (-1)*0.50001925/(x0*x1))
12,16,7.76985e-07,(-0.5001906 / (x0 + -1.0000085)) + ((square(x0) * -0.0013637627) - ((-0.50000864 / x0) / x1)),0.006824360751639181,x0**2*(-0.0013637627) - 0.5001906/(x0 - 1.0000085) - (-1)*0.50000864/(x0*x1),PySRFunction(X=>x0**2*(-0.0013637627) - 0.5001906/(x0 - 1.0000085) - (-1)*0.50000864/(x0*x1))
13,17,7.718469e-07,(-0.5001904 / (x0 + -1.0000087)) - (((-0.4999847 / x0) / x1) - ((x0 - 0.19302426) * -0.0014067224)),0.006634830866628594,-(-(-0.0014067224)*(x0 - 1*0.19302426) - 0.4999847/(x0*x1)) - 0.5001904/(x0 - 1.0000087),PySRFunction(X=>-(-(-0.0014067224)*(x0 - 1*0.19302426) - 0.4999847/(x0*x1)) - 0.5001904/(x0 - 1.0000087))
14,19,7.4386253e-07,(-0.5000376 / (x0 + -1.0000025)) + (((x0 * 0.00037155324) / (x1 - 2.151356)) - ((-0.5000376 / x0) / x1)),0.018464984020005824,x0*0.00037155324/(x1 - 1*2.151356) - 0.5000376/(x0 - 1.0000025) - (-1)*0.5000376/(x0*x1),PySRFunction(X=>x0*0.00037155324/(x1 - 1*2.151356) - 0.5000376/(x0 - 1.0000025) - (-1)*0.5000376/(x0*x1))
15,20,6.961459e-07,((-0.5000377 / (-1.0000025 + x0)) - ((-0.50001925 / x0) / x1)) - cube((-0.042022295 * x0) / (x1 + -2.055747)),0.06629698145270814,-(-1)*7.42060477815273e-5*x0**3/(x1 - 2.055747)**3 - 0.5000377/(x0 - 1.0000025) - (-1)*0.50001925/(x0*x1),PySRFunction(X=>-(-1)*7.42060477815273e-5*x0**3/(x1 - 2.055747)**3 - 0.5000377/(x0 - 1.0000025) - (-1)*0.50001925/(x0*x1))
