,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.990481,2.4529881,0.0,2.45298810000000,PySRFunction(X=>2.45298810000000)
1,3,0.5726862,x0 * 4.0896215,0.6228968371652506,x0*4.0896215,PySRFunction(X=>x0*4.0896215)
2,4,0.48018783,cube(x0 - -0.6670039),0.17616058286477923,(x0 - 1*(-0.6670039))**3,PySRFunction(X=>(x0 - 1*(-0.6670039))**3)
3,5,0.40731797,square(square(x0) + 1.0891643),0.16458320636464585,(x0**2 + 1.0891643)**2,PySRFunction(X=>(x0**2 + 1.0891643)**2)
4,6,0.3921464,-0.8406703 / (tanh(x0) + -0.94664675),0.037958894038637045,-0.8406703/(tanh(x0) - 0.94664675),PySRFunction(X=>-0.8406703/(tanh(x0) - 0.94664675))
5,7,0.35317433,cube((0.6515099 / tanh(x1)) + x0),0.10467345173647649,(x0 + 0.6515099/tanh(x1))**3,PySRFunction(X=>(x0 + 0.6515099/tanh(x1))**3)
6,8,0.30157468,cube((x0 + 0.6529258) / tanh(cube(x1))),0.157944107364437,(x0 + 0.6529258)**3/tanh(x1**3)**3,PySRFunction(X=>(x0 + 0.6529258)**3/tanh(x1**3)**3)
7,9,0.2764747,((cube(x0) + 1.2501793) - tanh(x1)) * 3.7062292,0.08689836448320401,(x0**3 - tanh(x1) + 1.2501793)*3.7062292,PySRFunction(X=>(x0**3 - tanh(x1) + 1.2501793)*3.7062292)
8,10,0.23144586,tanh((x0 - 0.78348523) / 0.0057549356) + (x0 + 2.1724808),0.1777733357871298,x0 + tanh((x0 - 1*0.78348523)/0.0057549356) + 2.1724808,PySRFunction(X=>x0 + tanh((x0 - 1*0.78348523)/0.0057549356) + 2.1724808)
9,11,0.16645584,tanh((x0 - 0.78446454) * cube(x1)) + (x0 + 2.0602782),0.32961593106779447,x0 + tanh(x1**3*(x0 - 1*0.78446454)) + 2.0602782,PySRFunction(X=>x0 + tanh(x1**3*(x0 - 1*0.78446454)) + 2.0602782)
10,12,0.1289648,(cube(x0) + 2.2622507) + tanh((x0 - 0.75988656) * cube(x1)),0.2551905501075308,x0**3 + tanh(x1**3*(x0 - 1*0.75988656)) + 2.2622507,PySRFunction(X=>x0**3 + tanh(x1**3*(x0 - 1*0.75988656)) + 2.2622507)
11,13,0.10842858,tanh((x0 - 0.78194076) * cube(x1)) + (-3.9052565 / (x0 + -2.1279414)),0.17344779151761527,tanh(x1**3*(x0 - 1*0.78194076)) - 3.9052565/(x0 - 2.1279414),PySRFunction(X=>tanh(x1**3*(x0 - 1*0.78194076)) - 3.9052565/(x0 - 2.1279414))
12,14,0.10198361,(-1.8487226 / tanh(x0 + -1.5836772)) + tanh(cube(x1) * (x0 - 0.760684)),0.06127959329335812,tanh(x1**3*(x0 - 1*0.760684)) - 1.8487226/tanh(x0 - 1.5836772),PySRFunction(X=>tanh(x1**3*(x0 - 1*0.760684)) - 1.8487226/tanh(x0 - 1.5836772))
13,15,0.10104747,tanh((x0 - 0.75762665) * cube(x1)) + ((-0.7622889 / (x0 + -1.3675243)) - -1.4515128),0.009221707672483774,tanh(x1**3*(x0 - 1*0.75762665)) - 1*(-1.4515128) - 0.7622889/(x0 - 1.3675243),PySRFunction(X=>tanh(x1**3*(x0 - 1*0.75762665)) - 1*(-1.4515128) - 0.7622889/(x0 - 1.3675243))
14,16,0.08011433,tanh((x0 - 0.7787011) * cube(x1)) + ((cube(x0) - -1.5962973) / tanh(tanh(x1))),0.23213566697920032,(x0**3 - 1*(-1.5962973))/tanh(tanh(x1)) + tanh(x1**3*(x0 - 1*0.7787011)),PySRFunction(X=>(x0**3 - 1*(-1.5962973))/tanh(tanh(x1)) + tanh(x1**3*(x0 - 1*0.7787011)))
15,17,0.048537217,tanh(cube(x1) * (x0 - 0.75735223)) + (((x0 - 0.6742433) * (x1 * 0.058857586)) + 2.6046658),0.5011238749492609,(x0 - 1*0.6742433)*x1*0.058857586 + tanh(x1**3*(x0 - 1*0.75735223)) + 2.6046658,PySRFunction(X=>(x0 - 1*0.6742433)*x1*0.058857586 + tanh(x1**3*(x0 - 1*0.75735223)) + 2.6046658)
16,19,0.04019303,(((x0 - 0.6411802) * (x1 * 0.034910947)) + (x0 + 2.0207)) + tanh(cube(x1) * (x0 - 0.7765941)),0.09431863349479007,x0 + (x0 - 1*0.6411802)*x1*0.034910947 + tanh(x1**3*(x0 - 1*0.7765941)) + 2.0207,PySRFunction(X=>x0 + (x0 - 1*0.6411802)*x1*0.034910947 + tanh(x1**3*(x0 - 1*0.7765941)) + 2.0207)
17,20,0.03778334,(((x1 * -0.041414063) * (0.64104486 - x0)) + (tanh(x0) + 2.1060486)) + tanh((x0 - 0.7738616) * cube(x1)),0.061825332777760415,x1*(-0.041414063)*(0.64104486 - x0) + tanh(x0) + tanh(x1**3*(x0 - 1*0.7738616)) + 2.1060486,PySRFunction(X=>x1*(-0.041414063)*(0.64104486 - x0) + tanh(x0) + tanh(x1**3*(x0 - 1*0.7738616)) + 2.1060486)
