,complexity,loss,equation,score,sympy_format,lambda_format
0,1,31.89769,3.1183062,0.0,3.11830620000000,PySRFunction(X=>3.11830620000000)
1,3,19.65468,x1 * 0.1260528,0.2421090577394849,x1*0.1260528,PySRFunction(X=>x1*0.1260528)
2,4,6.8447123,cube(x1 * 0.03408537),1.0548390507189498,3.96008071619435e-5*x1**3,PySRFunction(X=>3.96008071619435e-5*x1**3)
3,5,0.010293894,-0.54068863 / (x0 - 1.0020335),6.499680802242902,-0.54068863/(x0 - 1*1.0020335),PySRFunction(X=>-0.54068863/(x0 - 1*1.0020335))
4,6,0.007041438,-0.5103482 / tanh(x0 - 1.0005207),0.3797384932419302,-0.5103482/tanh(x0 - 1*1.0005207),PySRFunction(X=>-0.5103482/tanh(x0 - 1*1.0005207))
5,7,0.0069132997,(-0.4786674 / (x0 - 0.99911726)) + 0.15444118,0.018365361548816315,0.15444118 - 0.4786674/(x0 - 1*0.99911726),PySRFunction(X=>0.15444118 - 0.4786674/(x0 - 1*0.99911726))
6,8,0.0068214647,(0.49708512 / (tanh(x1) - x0)) - -0.113927454,0.013372834933780105,-1*(-0.113927454) + 0.49708512/(-x0 + tanh(x1)),PySRFunction(X=>-1*(-0.113927454) + 0.49708512/(-x0 + tanh(x1)))
7,9,0.003935757,(-0.5015688 / (x0 - 1.0000924)) + (0.9485491 / x1),0.5499709747132068,-0.5015688/(x0 - 1*1.0000924) + 0.9485491/x1,PySRFunction(X=>-0.5015688/(x0 - 1*1.0000924) + 0.9485491/x1)
8,10,0.0019180619,(-0.48525274 / tanh(x0 - 0.99927723)) - (-0.7521617 / x1),0.7187879903375429,-0.48525274/tanh(x0 - 1*0.99927723) - (-1)*0.7521617/x1,PySRFunction(X=>-0.48525274/tanh(x0 - 1*0.99927723) - (-1)*0.7521617/x1)
9,11,6.144028e-05,((0.49828404 / x1) / x0) + (-0.5015198 / (x0 - 1.0000831)),3.4410048820031673,-0.5015198/(x0 - 1*1.0000831) + 0.49828404/(x0*x1),PySRFunction(X=>-0.5015198/(x0 - 1*1.0000831) + 0.49828404/(x0*x1))
10,12,5.6205805e-05,(-0.5015198 / (x0 - 1.0000831)) - tanh((-0.5091895 / x1) / x0),0.08904560274033925,-tanh(-0.5091895/(x0*x1)) - 0.5015198/(x0 - 1*1.0000831),PySRFunction(X=>-tanh(-0.5091895/(x0*x1)) - 0.5015198/(x0 - 1*1.0000831))
11,13,4.289542e-05,(-0.5015198 / (x0 - 1.0000831)) - ((-0.531855 / (x1 + 0.37751898)) / x0),0.27025498305239287,-0.5015198/(x0 - 1*1.0000831) - (-1)*0.531855/(x0*(x1 + 0.37751898)),PySRFunction(X=>-0.5015198/(x0 - 1*1.0000831) - (-1)*0.531855/(x0*(x1 + 0.37751898)))
12,14,3.524621e-05,(0.57134765 / (x0 * (x1 + 0.870813))) + (0.49986288 / (tanh(x1) - x0)),0.19640705458063104,0.49986288/(-x0 + tanh(x1)) + 0.57134765/((x0*(x1 + 0.870813))),PySRFunction(X=>0.49986288/(-x0 + tanh(x1)) + 0.57134765/((x0*(x1 + 0.870813))))
13,15,2.8213492e-05,(0.4998457 / (tanh(x1) - x0)) + tanh((0.585314 / x0) / (x1 + 0.8863742)),0.22255770250274426,tanh(0.585314/(x0*(x1 + 0.8863742))) + 0.4998457/(-x0 + tanh(x1)),PySRFunction(X=>tanh(0.585314/(x0*(x1 + 0.8863742))) + 0.4998457/(-x0 + tanh(x1)))
14,16,2.3630108e-05,(0.5720371 / ((1.7891798 / x1) + (x1 * x0))) + (0.49983653 / (tanh(x1) - x0)),0.17727864159494153,0.5720371/(x0*x1 + 1.7891798/x1) + 0.49983653/(-x0 + tanh(x1)),PySRFunction(X=>0.5720371/(x0*x1 + 1.7891798/x1) + 0.49983653/(-x0 + tanh(x1)))
15,19,2.2469567e-05,(((x0 / x1) + (0.6088661 / x0)) / (x1 + 1.7066305)) + (-0.4998205 / (x0 - (x0 / x0))),0.016786615258681848,(x0/x1 + 0.6088661/x0)/(x1 + 1.7066305) - 0.4998205/(x0 - x0/x0),PySRFunction(X=>(x0/x1 + 0.6088661/x0)/(x1 + 1.7066305) - 0.4998205/(x0 - x0/x0))
