,complexity,loss,equation,score,sympy_format,lambda_format
0,1,19.597271,3.1424572,0.0,3.14245720000000,PySRFunction(X=>3.14245720000000)
1,3,15.894818,x0 * 6.453804,0.1046985888464427,x0*6.453804,PySRFunction(X=>x0*6.453804)
2,4,12.718837,cube(x0 * 2.1361053),0.2229090212413447,9.74693281954005*x0**3,PySRFunction(X=>9.74693281954005*x0**3)
3,5,11.669833,cube(cube(x0) + 1.1150036),0.08607698691532785,(x0**3 + 1.1150036)**3,PySRFunction(X=>(x0**3 + 1.1150036)**3)
4,6,10.972892,square((x0 * 5.0979385) + -1.9223232),0.06157926837905013,(x0*5.0979385 - 1.9223232)**2,PySRFunction(X=>(x0*5.0979385 - 1.9223232)**2)
5,7,10.968952,tanh(square(x0 - 0.3781276)) * 27.303316,0.00035913116895248704,tanh((x0 - 1*0.3781276)**2)*27.303316,PySRFunction(X=>tanh((x0 - 1*0.3781276)**2)*27.303316)
6,8,10.763267,square((x0 * 4.803041) + -1.7714514) - -0.6152958,0.018929603266630336,(x0*4.803041 - 1.7714514)**2 - 1*(-0.6152958),PySRFunction(X=>(x0*4.803041 - 1.7714514)**2 - 1*(-0.6152958))
7,9,9.720565,square((tanh(x1) + (x0 + -1.3491962)) * 4.988247),0.10189538882933084,24.882608133009*(x0 + tanh(x1) - 1.3491962)**2,PySRFunction(X=>24.882608133009*(x0 + tanh(x1) - 1.3491962)**2)
8,10,9.570632,square(square(-1.8725758 - x0) + (-4.96805 / tanh(x1))),0.015544501363265992,((-x0 - 1.8725758)**2 - 4.96805/tanh(x1))**2,PySRFunction(X=>((-x0 - 1.8725758)**2 - 4.96805/tanh(x1))**2)
9,11,9.447622,(((0.6206811 - x0) / x1) + square(square(x0))) * 11.142455,0.012936173364455709,(x0**4 + (0.6206811 - x0)/x1)*11.142455,PySRFunction(X=>(x0**4 + (0.6206811 - x0)/x1)*11.142455)
10,12,9.206408,(((0.5319748 - x0) / x1) + cube(x0 - 0.11498467)) * 16.420563,0.025863306291863526,((x0 - 1*0.11498467)**3 + (0.5319748 - x0)/x1)*16.420563,PySRFunction(X=>((x0 - 1*0.11498467)**3 + (0.5319748 - x0)/x1)*16.420563)
11,14,8.8222475,(cube(0.53370845 - x0) * (63.990158 / x1)) + square(cube(x0 - -0.49957186)),0.021311553591688286,(x0 - 1*(-0.49957186))**6 + (0.53370845 - x0)**3*63.990158/x1,PySRFunction(X=>(x0 - 1*(-0.49957186))**6 + (0.53370845 - x0)**3*63.990158/x1)
12,16,8.5253935,(cube(0.70082754 - x0) * (27.883293 / (x1 - x0))) + cube(square(-0.49325275 - x0)),0.017113737844986498,(0.70082754 - x0)**3*27.883293/(-x0 + x1) + (-x0 - 0.49325275)**6,PySRFunction(X=>(0.70082754 - x0)**3*27.883293/(-x0 + x1) + (-x0 - 0.49325275)**6)
13,17,8.515269,((29.183907 / (x1 - x0)) * cube(0.69467777 - x0)) + cube(x0 * (x0 - -1.2478819)),0.001188275536976964,x0**3*(x0 - 1*(-1.2478819))**3 + 29.183907*(0.69467777 - x0)**3/(-x0 + x1),PySRFunction(X=>x0**3*(x0 - 1*(-1.2478819))**3 + 29.183907*(0.69467777 - x0)**3/(-x0 + x1))
14,18,8.474256,(cube(0.70133156 - x0) * ((x1 + 26.441525) / (x1 - x0))) + square(cube(x0 - -0.49330926)),0.004828043122773924,(0.70133156 - x0)**3*(x1 + 26.441525)/(-x0 + x1) + (x0 - 1*(-0.49330926))**6,PySRFunction(X=>(0.70133156 - x0)**3*(x1 + 26.441525)/(-x0 + x1) + (x0 - 1*(-0.49330926))**6)
15,19,8.457715,(((x1 + 27.758562) / (x1 - x0)) * cube(0.6950191 - x0)) + cube((x0 - -1.2486906) * x0),0.001953819228958188,x0**3*(x0 - 1*(-1.2486906))**3 + (0.6950191 - x0)**3*(x1 + 27.758562)/(-x0 + x1),PySRFunction(X=>x0**3*(x0 - 1*(-1.2486906))**3 + (0.6950191 - x0)**3*(x1 + 27.758562)/(-x0 + x1))
