,complexity,loss,equation,score,sympy_format,lambda_format
0,1,28.10587,3.8035045,0.0,3.80350450000000,PySRFunction(X=>3.80350450000000)
1,3,21.79507,x0 / 0.119703285,0.12714732694497186,x0/0.119703285,PySRFunction(X=>x0/0.119703285)
2,4,13.471241,cube(x0) * 14.505542,0.48112668059178015,x0**3*14.505542,PySRFunction(X=>x0**3*14.505542)
3,5,4.8105617,-0.66912615 / (x0 + -1.0079913),1.029743261992751,-0.66912615/(x0 - 1.0079913),PySRFunction(X=>-0.66912615/(x0 - 1.0079913))
4,6,3.807247,1.573417 / (1.0036968 - cube(x0)),0.23390749906744754,1.573417/(1.0036968 - x0**3),PySRFunction(X=>1.573417/(1.0036968 - x0**3))
5,7,1.7949347,-0.24702394 / (x0 * (x0 + -0.986931)),0.7519377133306,-0.24702394*1/(x0*(x0 - 0.986931)),PySRFunction(X=>-0.24702394*1/(x0*(x0 - 0.986931)))
6,8,1.2437514,-0.17252845 / ((tanh(x0) + -0.7594031) * x0),0.36683650733026024,-0.17252845*1/(x0*(tanh(x0) - 0.7594031)),PySRFunction(X=>-0.17252845*1/(x0*(tanh(x0) - 0.7594031)))
7,9,1.1717306,-0.16572796 / (tanh(x0) * (-0.76163024 + tanh(x0))),0.059650333867239586,-0.16572796*1/((tanh(x0) - 0.76163024)*tanh(x0)),PySRFunction(X=>-0.16572796*1/((tanh(x0) - 0.76163024)*tanh(x0)))
8,10,0.04410871,(-0.5126587 / tanh(x0 * x1)) / (x0 + -0.9998995),3.2795798116130124,-0.5126587/((x0 - 0.9998995)*tanh(x0*x1)),PySRFunction(X=>-0.5126587/((x0 - 0.9998995)*tanh(x0*x1)))
9,11,0.020678764,((0.49587637 / x1) / x0) + (-0.5065781 / (x0 + -0.99965274)),0.7575499886576839,-0.5065781/(x0 - 0.99965274) + 0.49587637/(x0*x1),PySRFunction(X=>-0.5065781/(x0 - 0.99965274) + 0.49587637/(x0*x1))
10,12,0.017438764,((x0 - (-0.48828807 / x1)) / (x0 - cube(x0))) - 0.4208727,0.17041173555268108,(x0 - (-1)*0.48828807/x1)/(-x0**3 + x0) - 1*0.4208727,PySRFunction(X=>(x0 - (-1)*0.48828807/x1)/(-x0**3 + x0) - 1*0.4208727)
11,14,0.015899248,(-0.47483993 / (x0 + -0.9990787)) + ((0.49481773 / x1) / (x0 - cube(x0))),0.04621186594973159,-0.47483993/(x0 - 0.9990787) + 0.49481773/(x1*(-x0**3 + x0)),PySRFunction(X=>-0.47483993/(x0 - 0.9990787) + 0.49481773/(x1*(-x0**3 + x0)))
12,15,0.007232094,(-0.49949434 / ((0.017236285 / x1) + (-1.0007844 + x0))) + (0.49593547 / (x0 * x1)),0.7877431917172142,-0.49949434/(x0 - 1.0007844 + 0.017236285/x1) + 0.49593547/((x0*x1)),PySRFunction(X=>-0.49949434/(x0 - 1.0007844 + 0.017236285/x1) + 0.49593547/((x0*x1)))
13,17,0.007205812,(-0.49949434 / ((x0 + -1.0007844) + (0.017236285 / x1))) + ((-0.016770028 + (0.49672002 / x0)) / x1),0.0018203490887085004,-0.49949434/(x0 - 1.0007844 + 0.017236285/x1) + (-0.016770028 + 0.49672002/x0)/x1,PySRFunction(X=>-0.49949434/(x0 - 1.0007844 + 0.017236285/x1) + (-0.016770028 + 0.49672002/x0)/x1)
14,19,0.0071228887,(-0.49949434 / ((0.017236285 / x1) + (x0 + -1.0007844))) + (((0.4965311 / x0) + (-0.08065012 * x0)) / x1),0.0057872815900899275,-0.49949434/(x0 - 1.0007844 + 0.017236285/x1) + (-0.08065012*x0 + 0.4965311/x0)/x1,PySRFunction(X=>-0.49949434/(x0 - 1.0007844 + 0.017236285/x1) + (-0.08065012*x0 + 0.4965311/x0)/x1)
15,20,0.0070665153,((0.49593547 / (x1 * x0)) * tanh(0.9786004 / x0)) + (-0.49995682 / ((0.017236428 / x1) + (x0 + -1.0007913))),0.007945886466289706,-0.49995682/(x0 - 1.0007913 + 0.017236428/x1) + 0.49593547*tanh(0.9786004/x0)/((x0*x1)),PySRFunction(X=>-0.49995682/(x0 - 1.0007913 + 0.017236428/x1) + 0.49593547*tanh(0.9786004/x0)/((x0*x1)))
