,complexity,loss,equation,score,sympy_format,lambda_format
0,1,0.6994856,1.3405031,0.0,1.34050310000000,PySRFunction(X=>1.34050310000000)
1,3,0.03921361,x0 / 0.3286562,1.440660663672283,x0/0.3286562,PySRFunction(X=>x0/0.3286562)
2,4,0.027085016,cube(x0 + 0.5751638),0.3700432205735551,(x0 + 0.5751638)**3,PySRFunction(X=>(x0 + 0.5751638)**3)
3,5,0.00034289365,-0.57423586 / (x0 + -1.028559),4.369315598045817,-0.57423586/(x0 - 1.028559),PySRFunction(X=>-0.57423586/(x0 - 1.028559))
4,6,1.3150112e-05,-0.43102562 / (tanh(x0) + -0.8356723),3.260990065081117,-0.43102562/(tanh(x0) - 0.8356723),PySRFunction(X=>-0.43102562/(tanh(x0) - 0.8356723))
5,7,2.463473e-09,(cube(tanh(x0)) + 0.09157679) * 6.533958,8.582613411754323,(tanh(x0)**3 + 0.09157679)*6.533958,PySRFunction(X=>(tanh(x0)**3 + 0.09157679)*6.533958)
6,8,2.7321315e-10,cube(0.21145101 - (x0 * -1.2980999)) + 0.5586934,2.1990751621337266,(0.21145101 - (-1.2980999)*x0)**3 + 0.5586934,PySRFunction(X=>(0.21145101 - (-1.2980999)*x0)**3 + 0.5586934)
7,9,0.0,((x1 * 0.0059001045) + -0.37893325) + (x0 * 3.1983266),inf,x0*3.1983266 + x1*0.0059001045 - 0.37893325,PySRFunction(X=>x0*3.1983266 + x1*0.0059001045 - 0.37893325)
