,complexity,loss,equation,score,sympy_format,lambda_format
0,1,26.78481,5.853482,0.0,5.85348200000000,PySRFunction(X=>5.85348200000000)
1,3,10.567112,0.39635333 / x0,0.46504419967390775,0.39635333/x0,PySRFunction(X=>0.39635333/x0)
2,4,8.051729,cube(2.3978868 - x0),0.2718596854607698,(2.3978868 - x0)**3,PySRFunction(X=>(2.3978868 - x0)**3)
3,5,3.642814,(0.3106976 / x0) + 3.0466497,0.7931303910750037,3.0466497 + 0.3106976/x0,PySRFunction(X=>3.0466497 + 0.3106976/x0)
4,6,0.32693455,square((x0 * -7.2518187) + 4.1113825),2.41075174092503,(4.1113825 + x0*(-7.2518187))**2,PySRFunction(X=>(4.1113825 + x0*(-7.2518187))**2)
5,7,0.07290329,(0.37253168 / (0.98430854 - x0)) / x0,1.5006262296470176,0.37253168/(x0*(0.98430854 - x0)),PySRFunction(X=>0.37253168/(x0*(0.98430854 - x0)))
6,8,0.07112624,0.37736535 / (tanh(x0) * (1.0022293 - x0)),0.024677441922344914,0.37736535/(((1.0022293 - x0)*tanh(x0))),PySRFunction(X=>0.37736535/(((1.0022293 - x0)*tanh(x0))))
7,9,0.018916696,(0.38792217 / x0) + cube(cube(x0 + 0.29993385)),1.324411408036433,(x0 + 0.29993385)**9 + 0.38792217/x0,PySRFunction(X=>(x0 + 0.29993385)**9 + 0.38792217/x0)
8,10,0.0037745505,cube((x0 + -0.5752207) * 5.0957522) + (0.93878305 / x0),1.6117636155894215,132.319820159568*(x0 - 0.5752207)**3 + 0.93878305/x0,PySRFunction(X=>132.319820159568*(x0 - 0.5752207)**3 + 0.93878305/x0)
9,11,0.0004576942,(x0 + (0.38709095 / x0)) - cube(cube(x0 * -1.3024368)),2.1098353062223354,-(-1)*10.7847461533774*x0**9 + x0 + 0.38709095/x0,PySRFunction(X=>-(-1)*10.7847461533774*x0**9 + x0 + 0.38709095/x0)
10,12,1.6632872e-05,((0.00022337351 / cube(x0)) - -1.2148006) - (cube(cube(x0)) * -11.073953),3.3148202972895873,-(-11.073953)*x0**9 - 1*(-1.2148006) + 0.00022337351/(x0**3),PySRFunction(X=>-(-11.073953)*x0**9 - 1*(-1.2148006) + 0.00022337351/(x0**3))
11,15,1.5019973e-05,(1.2209506 - (-0.00022327738 / cube(x0))) - (cube(cube(x0)) * (-10.337293 - tanh(x0))),0.03400004316753632,-x0**9*(-tanh(x0) - 10.337293) + 1.2209506 - (-1)*0.00022327738/(x0**3),PySRFunction(X=>-x0**9*(-tanh(x0) - 10.337293) + 1.2209506 - (-1)*0.00022327738/(x0**3))
12,16,5.1060374e-06,(1.213309 - (-0.00022339668 / cube(x0))) - (cube(cube(x0)) * (-11.049337 - (x1 * 0.0024715385))),1.0789572052226903,-x0**9*(-0.0024715385*x1 - 11.049337) + 1.213309 - (-1)*0.00022339668/(x0**3),PySRFunction(X=>-x0**9*(-0.0024715385*x1 - 11.049337) + 1.213309 - (-1)*0.00022339668/(x0**3))
13,17,4.7312764e-07,(((0.38786358 / x0) + x0) + -0.028841441) - ((-10.886336 - (-0.14101768 / x1)) * cube(cube(x0))),2.378813718393739,-x0**9*(-10.886336 - (-1)*0.14101768/x1) + x0 - 0.028841441 + 0.38786358/x0,PySRFunction(X=>-x0**9*(-10.886336 - (-1)*0.14101768/x1) + x0 - 0.028841441 + 0.38786358/x0)
14,18,1.5552239e-07,((square(x0) + (0.3845472 / x0)) - ((x1 * -0.0014471691) - 0.1262616)) - (cube(cube(x0)) * -10.67088),1.1125754957044858,-(-10.67088)*x0**9 + x0**2 - (x1*(-0.0014471691) - 1*0.1262616) + 0.3845472/x0,PySRFunction(X=>-(-10.67088)*x0**9 + x0**2 - (x1*(-0.0014471691) - 1*0.1262616) + 0.3845472/x0)
15,19,5.684342e-14,(((-0.035299037 / x1) + (0.38931382 / x0)) + ((x0 + -0.05878473) * 1.0471478)) - (cube(cube(x0)) * -10.85578),14.821999796042705,-(-10.85578)*x0**9 + (x0 - 0.05878473)*1.0471478 - 0.035299037/x1 + 0.38931382/x0,PySRFunction(X=>-(-10.85578)*x0**9 + (x0 - 0.05878473)*1.0471478 - 0.035299037/x1 + 0.38931382/x0)
