,complexity,loss,equation,score,sympy_format,lambda_format
0,1,1.1090415,1.9678406,0.0,1.96784060000000,PySRFunction(X=>1.96784060000000)
1,3,0.9733931,x0 + 1.5129317,0.06523169946582685,x0 + 1.5129317,PySRFunction(X=>x0 + 1.5129317)
2,4,0.88772345,cube(x0) + 1.7556156,0.09212774451111104,x0**3 + 1.7556156,PySRFunction(X=>x0**3 + 1.7556156)
3,5,0.7124959,square(cube(x0) + 1.1695604),0.2198861065672564,(x0**3 + 1.1695604)**2,PySRFunction(X=>(x0**3 + 1.1695604)**2)
4,6,0.46414885,cube(x0 - -0.46179193) / x0,0.4285688595447241,(x0 - 1*(-0.46179193))**3/x0,PySRFunction(X=>(x0 - 1*(-0.46179193))**3/x0)
5,7,0.22567423,cube(square(x0 - -0.23061866) / x0),0.7211127990034255,(x0 - 1*(-0.23061866))**6/x0**3,PySRFunction(X=>(x0 - 1*(-0.23061866))**6/x0**3)
6,8,0.13662952,0.5205053 / (tanh(x0 / 0.23339237) - x0),0.5018194699855799,0.5205053/(-x0 + tanh(x0/0.23339237)),PySRFunction(X=>0.5205053/(-x0 + tanh(x0/0.23339237)))
7,9,0.04386667,0.61237437 / ((1.0784621 + (-0.043090817 / x0)) - x0),1.136118222995608,0.61237437/(-x0 + 1.0784621 - 0.043090817/x0),PySRFunction(X=>0.61237437/(-x0 + 1.0784621 - 0.043090817/x0))
8,10,0.020255318,0.5593814 / ((1.0162863 - x0) * tanh(x1 * x0)),0.7727374298523301,0.5593814/(((1.0162863 - x0)*tanh(x0*x1))),PySRFunction(X=>0.5593814/(((1.0162863 - x0)*tanh(x0*x1))))
9,11,7.716995e-05,((0.4990002 / x1) / x0) + (0.49854898 / (0.99943 - x0)),5.570162522791628,0.49854898/(0.99943 - x0) + 0.4990002/(x0*x1),PySRFunction(X=>0.49854898/(0.99943 - x0) + 0.4990002/(x0*x1))
10,13,1.9840576e-05,(((0.49735183 / x0) + 0.035626713) / x1) + (0.49359986 / (0.9982094 - x0)),0.6791404994278811,0.49359986/(0.9982094 - x0) + (0.035626713 + 0.49735183/x0)/x1,PySRFunction(X=>0.49359986/(0.9982094 - x0) + (0.035626713 + 0.49735183/x0)/x1)
11,15,1.5155408e-05,((0.49900562 / x1) / x0) + (0.49410263 / ((0.9985063 - x0) + (-0.007492115 / x1))),0.134685850868999,0.49410263/(-x0 + 0.9985063 - 0.007492115/x1) + 0.49900562/(x0*x1),PySRFunction(X=>0.49410263/(-x0 + 0.9985063 - 0.007492115/x1) + 0.49900562/(x0*x1))
12,16,8.914058e-06,(0.4904876 / (0.99747604 - x0)) - (((-0.98806113 / x1) + -0.003215363) / (x0 + tanh(x0))),0.5307278508333673,-(-0.003215363 - 0.98806113/x1)/(x0 + tanh(x0)) + 0.4904876/(0.99747604 - x0),PySRFunction(X=>-(-0.003215363 - 0.98806113/x1)/(x0 + tanh(x0)) + 0.4904876/(0.99747604 - x0))
13,18,8.1669305e-06,((0.49310377 / (0.99798065 - x0)) + -0.005790898) - (((-0.9870038 / x1) + -0.003955835) / (x0 + tanh(x0))),0.04376822331940451,-(-0.003955835 - 0.9870038/x1)/(x0 + tanh(x0)) - 0.005790898 + 0.49310377/(0.99798065 - x0),PySRFunction(X=>-(-0.003955835 - 0.9870038/x1)/(x0 + tanh(x0)) - 0.005790898 + 0.49310377/(0.99798065 - x0))
