,inf,-3.0,-2.0,-1.0,0.0
200.0,1.0,1.0,1.0,0.35,0.15
100.0,1.0,1.0,1.0,0.65,0.1
50.0,1.0,1.0,1.0,0.4,0.15
20.0,1.0,1.0,1.0,0.35,0.0
10.0,0.9,1.0,1.0,0.35,0.0
5.0,0.65,0.55,0.05,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
