,inf,-4.0,-3.0,-2.0,-1.0,0.0
200.0,1.0,1.0,0.4,0.1,0.0,0.0
100.0,1.0,1.0,0.65,0.1,0.0,0.0
50.0,1.0,1.0,0.85,0.1,0.0,0.0
20.0,1.0,1.0,0.85,0.2,0.0,0.0
10.0,0.9,1.0,0.85,0.15,0.0,0.0
5.0,0.65,0.3,0.15,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0
